Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.69;3.27;1.67;0.99;0.83;-5.13;-6.48;-8.62;-8.06;10.02;-1.53;-1.77;-1.31
&nbspP/L;-16.26;4.69;6.99;9.21;4.34;-1.78;-0.37;-0.31;-0.45;0.12;-0.56;-1.24;-1.16
&nbspVPA;16.43;18.80;17.56;6.30;6.41;22.49;17.45;15.08;-16.36;9.32;2.99;1.30;0.72
&nbspP/VP;1.67;0.82;0.67;1.45;0.56;0.41;0.14;0.17;-0.22;0.13;0.29;1.69;2.12
&nbspP/EBIT;-15.40;3.76;4.50;3.46;1.23;1.38;0.73;35.60;-1.27;-0.58;-1.72;-7.23;-4.88
&nbspP/EBITDA;22.69;2.63;2.70;2.06;0.68;0.77;0.25;0.34;1.09;5.66;1.31;5.18;1.54
&nbspP/Ativos;0.68;0.34;0.22;0.24;0.09;0.08;0.02;0.03;0.04;0.05;0.07;0.18;0.13
&nbspEbitda;731;3516;2612;7988;9565;10210;7794;6377;2748;543;3897;2530;5875
&nbspMarg. Ebitda;7%;34%;28%;32%;34%;36%;28%;25%;12%;2%;19%;27%;87%
&nbspPSR;1.52;0.90;0.76;0.65;0.23;0.28;0.07;0.08;0.13;0.14;0.25;1.41;1.34
&nbspROE;-10%;17%;10%;16%;13%;-23%;-37%;-57%;49%;108%;-51%;-136%;-182%
&nbspROA;-4%;7%;3%;3%;2%;-4%;-6%;-9%;-10%;38%;-13%;-14%;-11%
&nbspROIC;-5%;12%;7%;8%;8%;6%;4%;0%;-4%;-9%;-5%;-3%;-3%
&nbspEV/EBIT;-10.86;3.93;6.61;7.53;8.00;7.50;19.43;815.66;-24.13;-4.03;-8.50;-17.33;-18.56
&nbspEV/EBITDA;15.99;2.75;3.97;4.49;4.42;4.17;6.74;7.80;20.73;39.07;6.50;12.40;5.86
&nbspDiv. Yield;0,00%;0,00%;2,57%;16,70%;22,44%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;-26%;0%;46%;135%;86%;0%;-1%;-1%;-1%;0%;0%;0%;0%
&nbspBeta;0.24;0.53;0.66;0.74;1.40;0.79;1.02;0.62;0.65;0.78;0.53;0.81;1.15
&nbspValorização;-50%;-45%;-22%;-13%;-55%;-74%;-74%;9%;38%;-65%;-32%;156%;-35%
&nbspNegócios/dia;58;172;148;2037;4357;2481;2492;3760;1686;4729;17993;30279;24356
&nbspVolume diário;1;2;1;6;9;9;5;10;8;19;100;248;219
