Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;0.97;0.44;0.21;0.28;0.07
&nbspP/L;18.08;39.53;176.97;143.76;534.14
&nbspVPA;15.37;15.75;17.36;19.63;19.15
&nbspP/VP;1.14;1.11;2.10;2.06;1.99
&nbspP/EBIT;8.89;7.50;15.55;15.12;13.52
&nbspP/EBITDA;7.06;0.00;10.50;10.04;8.72
&nbspP/Ativos;0.53;0.50;0.83;0.75;0.67
&nbspEbitda;292;0;573;787;858
&nbspMarg. Ebitda;53%;0%;57%;71%;67%
&nbspPSR;3.78;2.77;5.93;7.18;5.85
&nbspROE;6%;3%;1%;1%;0%
&nbspROA;3%;1%;0%;1%;0%
&nbspROIC;7%;7%;6%;5%;6%
&nbspEV/EBIT;39.07;34.47;27.27;24.23;22.98
&nbspEV/EBITDA;31.05;0.00;18.41;16.09;14.82
&nbspDiv. Yield;0,00%;0,52%;0,00%;0,00%;0,00%
&nbspDiv. Payout;11%;0%;6%;11%;36%
&nbspBeta;0.18;0.27;0.49;0.68;0.45
&nbspValorização;6%;1%;100%;3%;-5%
&nbspNegócios/dia;766;1051;1720;3801;3936
&nbspVolume diário;7;4;10;31;35
