Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;1.02;0.95;1.23;0.98;1.25
&nbspP/L;32.87;19.59;22.14;22.94;16.94
&nbspVPA;4.10;4.63;5.31;5.60;5.77
&nbspP/VP;8.14;4.04;5.12;4.03;3.67
&nbspP/EBIT;22.54;14.32;15.11;14.65;10.94
&nbspP/EBITDA;18.63;10.83;10.88;9.71;7.70
&nbspP/Ativos;3.80;1.97;2.19;1.50;1.40
&nbspEbitda;235;226;328;305;361
&nbspMarg. Ebitda;21%;19%;24%;20%;22%
&nbspPSR;3.91;2.03;2.64;1.98;1.67
&nbspROE;25%;21%;23%;18%;22%
&nbspROA;12%;10%;10%;7%;8%
&nbspROIC;22%;17%;17%;14%;18%
&nbspEV/EBIT;15.11;17.02;12.35;14.67;11.66
&nbspEV/EBITDA;12.49;12.87;8.89;9.72;8.21
&nbspDiv. Yield;2,93%;1,71%;1,65%;0,97%;1,60%
&nbspDiv. Payout;169%;34%;37%;29%;23%
&nbspBeta;0.74;0.61;0.77;0.93;0.74
&nbspValorização;68%;-43%;41%;-17%;-5%
&nbspNegócios/dia;1293;1431;1229;3129;2175
&nbspVolume diário;12;11;8;15;9
