Unnamed: 0;2019;2020;2021
&nbspLPA;3.12;8.67;9.55
&nbspP/L;28.49;8.66;4.05
&nbspVPA;50.41;62.63;64.04
&nbspP/VP;1.76;1.20;0.60
&nbspP/EBIT;12.23;7.66;3.93
&nbspP/EBITDA;6.79;3.88;2.02
&nbspP/Ativos;0.41;0.38;0.21
&nbspEbitda;3507;5185;5142
&nbspMarg. Ebitda;6%;10%;12%
&nbspPSR;0.42;0.39;0.24
&nbspROE;6%;14%;15%
&nbspROA;1%;4%;5%
&nbspROIC;6%;8%;7%
&nbspEV/EBIT;8.55;4.13;5.79
&nbspEV/EBITDA;4.75;2.09;2.97
&nbspDiv. Yield;0,91%;0,77%;5,63%
&nbspDiv. Payout;32%;15%;14%
&nbspBeta;-0.22;0.47;0.57
&nbspValorização;-1%;-15%;-45%
&nbspNegócios/dia;0;7717;17739
&nbspVolume diário;0;105;214
