Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.72;1.57;0.93;0.71;0.63;-1.63;-0.11;-0.36;-57.75;-110.36;3.27;-10.47;-112.70;-56.41;-61.99
&nbspP/L;34.70;7.11;18.69;14.23;9.34;-2.03;-15.76;-2.40;-0.03;-0.01;0.69;-0.11;-0.07;-0.07;-0.11
&nbspVPA;9.63;11.27;7.59;5.39;5.73;3.77;4.03;3.82;48.46;-69.40;-65.62;-49.57;-610.34;-667.49;-695.02
&nbspP/VP;2.59;0.99;2.29;1.88;1.03;0.88;0.45;0.22;0.03;-0.02;-0.03;-0.02;-0.01;-0.01;-0.01
&nbspP/EBIT;22.77;6.96;19.49;13.21;7.27;-2.39;9.90;6.94;-0.04;-0.01;-0.06;-0.22;-0.13;-0.12;-0.17
&nbspP/EBITDA;20.75;6.89;19.30;12.84;6.27;-2.64;7.58;5.14;-0.05;-0.01;-0.06;-0.25;-0.13;-0.12;-0.17
&nbspP/Ativos;1.42;0.50;1.11;0.73;0.38;0.28;0.14;0.07;0.01;0.01;0.04;0.04;0.03;0.02;0.03
&nbspEbitda;176;236;351;876;1057;-1671;316;222;-1716;-4710;-1746;-359;-453;-274;-330
&nbspMarg. Ebitda;32%;19%;18%;17%;15%;-38%;6%;5%;-94%;-1.907%;-381%;-169%;-151%;-132%;-130%
&nbspPSR;6.60;1.32;3.41;2.15;0.96;1.01;0.45;0.27;0.04;0.24;0.24;0.42;0.20;0.15;0.22
&nbspROE;7%;14%;12%;13%;11%;-43%;-3%;-9%;-119%;159%;-5%;21%;18%;8%;9%
&nbspROA;4%;7%;6%;5%;4%;-14%;-1%;-3%;-26%;-117%;5%;-34%;-47%;-26%;-30%
&nbspROIC;6%;7%;6%;6%;6%;-13%;2%;1%;-21%;-110%;-72%;-19%;-27%;-19%;-24%
&nbspEV/EBIT;3.45;3.97;4.52;3.69;3.97;-2.34;16.84;24.17;-1.45;-0.62;-0.78;-3.80;-3.52;-4.37;-3.66
&nbspEV/EBITDA;3.15;3.93;4.47;3.59;3.43;-2.59;12.90;17.89;-1.79;-0.60;-0.80;-4.26;-3.54;-4.40;-3.67
&nbspDiv. Yield;0,16%;2,06%;3,46%;2,07%;2,88%;4,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;15%;0%;0%;10%;29%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.78;1.03;1.05;1.24;1.53;1.70;1.45;1.29;1.11;1.42;1.17;0.49;0.81;1.01;0.72
&nbspValorização;79%;-53%;214%;26%;-41%;-45%;-48%;-49%;-96%;-28%;49%;-52%;-35%;-50%;76%
&nbspNegócios/dia;132;341;1916;7058;14937;21150;14401;8237;3014;952;1432;993;417;149;505
&nbspVolume diário;8;11;28;83;106;124;76;25;5;4;8;4;1;0;1
