Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.26;-0.29;-0.18;-0.17;-0.12;-0.18;-14.87;7.28;1.35;0.61;0.24;0.24;0.24
&nbspP/L;-20.92;-13.36;-14.52;-11.01;-13.45;-9.95;-0.87;0.59;7.72;9.69;13.28;26.92;27.13
&nbspVPA;1.01;1.14;1.00;0.83;1.21;0.67;-8.14;-0.86;0.12;0.80;1.10;1.31;1.31
&nbspP/VP;5.36;3.34;2.63;2.29;1.36;2.67;-1.60;-5.01;84.91;7.46;2.95;4.97;5.00
&nbspP/EBIT;-39.23;-110.19;20.33;27.53;25.22;-5.47;-1.24;0.52;7.72;10.77;17.71;26.92;27.13
&nbspP/EBITDA;-32.36;-45.18;12.38;10.49;13.03;-6.60;-1.29;0.52;7.32;10.10;13.64;17.73;17.87
&nbspP/Ativos;1.49;0.83;0.38;0.25;0.23;0.30;0.62;0.74;3.09;1.51;0.84;1.36;1.37
&nbspEbitda;-19;-10;25;21;15;-33;-165;136;23;10;4;29;29
&nbspMarg. Ebitda;-2%;-1%;2%;1%;1%;-3%;-23%;0%;0%;0%;0%;17%;17%
&nbspPSR;0.75;0.41;0.22;0.13;0.13;0.17;0.30;0.00;0.00;0.00;0.00;3.03;3.05
&nbspROE;-26%;-25%;-18%;-21%;-10%;-27%;183%;-850%;1.100%;77%;22%;18%;18%
&nbspROA;-7%;-6%;-3%;-2%;-2%;-3%;-71%;125%;40%;16%;6%;5%;5%
&nbspROIC;-6%;-1%;4%;2%;2%;-9%;-118%;181%;40%;15%;5%;7%;7%
&nbspEV/EBIT;-42.10;-168.65;50.51;96.08;87.45;-18.37;-3.70;4.15;26.21;63.73;191.20;31.45;29.39
&nbspEV/EBITDA;-34.73;-69.15;30.76;36.60;45.19;-22.15;-3.86;4.09;24.86;59.79;147.34;20.72;19.36
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;9%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.34;0.97;0.56;0.00;0.50;0.21;1.02;0.19;0.04;0.41;0.59;0.85;1.04
&nbspValorização;125%;-29%;-29%;-23%;-15%;10%;-26%;-64%;142%;-43%;-43%;90%;-1%
&nbspNegócios/dia;202;171;85;163;346;173;84;47;64;42;213;308;663
&nbspVolume diário;2;1;1;1;1;1;0;0;0;0;1;1;2
