Unnamed: 0;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.65;9.19;9.24;7.27;17.85;17.76;5.87;6.54;5.53;3.68;3.79;2.75;2.54;1.61;1.76;-1.68;-2.70;-1.00;0.03;2.05;3.14;0.48;4.39
&nbspP/L;278.33;4.98;5.54;6.38;4.28;5.47;6.34;7.61;15.98;6.21;9.69;9.92;8.47;12.15;9.68;-5.96;-2.48;-14.87;557.07;11.08;9.61;59.19;6.65
&nbspVPA;16.57;23.22;26.71;31.05;46.50;58.85;19.37;23.94;27.39;16.07;18.36;23.78;25.47;26.48;26.78;23.82;19.77;19.38;20.67;21.74;22.93;23.85;24.55
&nbspP/VP;27.76;1.97;1.92;1.49;1.64;1.65;1.92;2.08;3.23;1.42;2.00;1.15;0.84;0.74;0.64;0.42;0.34;0.77;0.78;1.04;1.32;1.19;1.19
&nbspP/EBIT;186.42;3.54;4.31;4.69;2.91;3.56;4.10;5.21;10.68;4.10;7.07;7.81;6.34;8.09;6.48;-5.96;-6.63;11.77;5.56;4.56;4.82;7.45;2.95
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.22;8.23;3.27;5.34;5.89;4.52;4.78;3.55;14.92;3.44;2.98;2.62;2.73;2.81;3.43;2.03
&nbspP/Ativos;8.82;0.74;0.74;0.52;0.61;0.72;0.89;1.04;1.68;0.69;0.93;0.68;0.47;0.38;0.30;0.16;0.10;0.24;0.25;0.34;0.43;0.37;0.38
&nbspEbitda;0;0;0;0;0;0;0;51814;47118;61294;60323;60456;61968;53242;62824;8760;25386;65025;80251;108522;140203;107926;187142
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;33%;28%;28%;33%;28%;25%;19%;21%;3%;8%;23%;28%;31%;46%;40%;66%
&nbspPSR;16.88;1.00;0.97;0.73;0.88;0.98;1.19;1.38;2.27;0.93;1.76;1.67;1.15;0.90;0.73;0.39;0.27;0.69;0.74;0.85;1.30;1.36;1.35
&nbspROE;10%;40%;35%;23%;38%;30%;30%;27%;20%;23%;21%;12%;10%;6%;7%;-7%;-14%;-5%;0%;9%;14%;2%;18%
&nbspROA;3%;15%;13%;8%;14%;13%;14%;14%;10%;11%;10%;7%;6%;3%;3%;-3%;-4%;-2%;0%;3%;4%;1%;6%
&nbspROIC;5%;22%;18%;12%;22%;22%;23%;21%;17%;18%;14%;10%;8%;5%;5%;-3%;-2%;2%;5%;8%;9%;6%;14%
&nbspEV/EBIT;151.42;28.80;31.49;38.90;14.91;14.18;10.86;10.27;11.70;9.20;10.68;9.84;11.07;16.97;17.71;-30.52;-59.05;42.52;17.67;10.11;8.62;14.41;5.52
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.32;9.02;7.34;8.06;7.42;7.90;10.03;9.68;76.35;30.68;10.78;8.32;6.04;5.03;6.63;3.80
&nbspDiv. Yield;0,00%;17,85%;6,59%;7,09%;6,06%;5,38%;11,18%;4,16%;1,54%;2,19%;2,83%;3,63%;4,05%;2,66%;0,00%;9,98%;0,00%;0,00%;0,00%;3,97%;2,12%;0,00%;2,71%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;19%;46%;26%;32%;30%;25%;-40%;0%;-2%;143%;11%;20%;107%;4%
&nbspBeta;0.00;0.67;0.60;0.83;0.80;0.84;0.84;0.96;1.00;1.08;0.97;0.96;0.92;1.19;1.13;1.92;1.93;1.98;1.48;1.75;1.19;1.34;1.61
&nbspValorização;248%;-1%;16%;-4%;76%;30%;64%;36%;80%;-47%;54%;-24%;-17%;-8%;-13%;-36%;-28%;117%;10%;43%;28%;-8%;4%
&nbspNegócios/dia;525;627;734;821;974;1406;2025;4469;7423;19380;17737;20547;22748;31919;32878;45077;46639;41790;34231;51868;50116;55458;57074
&nbspVolume diário;43;58;57;50;65;101;132;284;577;885;624;650;505;525;541;771;530;618;564;1439;1435;1578;2119
