Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.42;0.61;0.15;-0.15;-0.65;0.02;0.39;0.43;-1.16;-0.19;-0.47;-0.58;-19.81;-15.94
&nbspP/L;6.17;10.88;34.02;-20.03;-7.69;237.56;6.36;5.16;-1.31;-8.17;-2.99;-50.50;-0.50;-0.92
&nbspVPA;4.80;5.43;5.55;5.20;4.58;4.31;3.77;1.08;0.81;1.29;0.87;14.31;-4.56;-13.66
&nbspP/VP;0.54;1.23;0.90;0.57;1.08;1.21;0.65;2.04;1.89;1.23;1.61;2.03;-2.19;-1.07
&nbspP/EBIT;1.62;125.42;63.96;-20.47;-7.54;10.33;6.21;4.88;-14.70;-3.22;-14.69;10.35;-1.90;-2.20
&nbspP/EBITDA;1.35;21.37;15.15;23.26;-12.07;6.27;3.19;2.64;4.48;-5.10;11.72;4.60;-5.79;-4.77
&nbspP/Ativos;0.22;0.65;0.43;0.25;0.38;0.38;0.16;0.13;0.14;0.26;0.21;0.33;0.11;0.17
&nbspEbitda;611;100;106;40;-131;265;248;266;108;-215;83;275;-75;-133
&nbspMarg. Ebitda;18%;4%;3%;1%;-3%;5%;5%;5%;2%;-6%;2%;5%;-2%;-3%
&nbspPSR;0.24;0.85;0.50;0.23;0.39;0.30;0.17;0.13;0.11;0.31;0.20;0.24;0.10;0.14
&nbspROE;9%;11%;3%;-3%;-14%;1%;10%;40%;-144%;-15%;-54%;-4%;434%;117%
&nbspROA;4%;6%;1%;-1%;-5%;0%;2%;3%;-10%;-3%;-7%;-1%;-21%;-19%
&nbspROIC;19%;1%;1%;-3%;-11%;7%;6%;6%;-1%;-11%;-2%;4%;-7%;-9%
&nbspEV/EBIT;1.32;30.00;34.84;-13.43;-4.20;8.81;8.25;13.97;-69.88;-6.57;-39.30;22.72;-14.90;-12.80
&nbspEV/EBITDA;1.10;5.11;8.25;15.27;-6.72;5.35;4.23;7.57;21.28;-10.40;31.36;10.09;-45.53;-27.72
&nbspDiv. Yield;0,00%;0,00%;0,00%;7,46%;0,00%;0,00%;0,00%;0,00%;5,26%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;23%;-123%;0%;0%;0%;0%;0%;0%;0%;-108%;0%;0%
&nbspBeta;0.65;0.56;1.01;0.97;0.85;0.59;0.60;0.99;0.90;0.76;0.51;0.58;0.85;1.03
&nbspValorização;-88%;117%;-26%;-40%;65%;3%;-53%;-6%;-23%;5%;-13%;21%;-65%;47%
&nbspNegócios/dia;106;333;1052;647;929;1060;376;619;545;728;728;560;613;1560
&nbspVolume diário;1;5;10;3;2;2;1;1;1;2;2;3;3;8
