Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;7.21;8.30;10.72;12.48;11.17;10.30;12.06;13.60;16.95;17.27;0.38;0.42
&nbspP/L;11.37;11.52;15.48;15.23;14.72;14.57;19.40;25.37;12.98;25.47;54.61;51.70
&nbspVPA;37.79;43.47;50.98;60.42;68.13;75.36;83.57;93.44;101.94;116.03;6.67;6.71
&nbspP/VP;2.17;2.20;3.26;3.14;2.41;1.99;2.80;3.69;2.16;3.79;3.08;3.21
&nbspP/EBIT;7.36;7.68;10.84;11.13;9.75;8.06;11.60;16.56;8.92;16.56;33.47;36.19
&nbspP/EBITDA;7.36;7.96;11.08;10.99;9.76;8.21;11.69;16.80;8.98;16.21;14.83;13.44
&nbspP/Ativos;1.00;0.99;1.52;1.45;1.04;0.90;1.30;1.66;1.00;1.36;1.42;1.45
&nbspEbitda;51;55;68;79;77;83;91;94;111;123;210;242
&nbspMarg. Ebitda;4%;4%;4%;5%;4%;4%;4%;4%;5%;5%;7%;8%
&nbspPSR;0.32;0.33;0.50;0.50;0.40;0.34;0.50;0.70;0.41;0.73;1.10;1.13
&nbspROE;19%;19%;21%;21%;16%;14%;14%;15%;17%;15%;6%;6%
&nbspROA;9%;9%;10%;10%;7%;6%;7%;7%;8%;5%;3%;3%
&nbspROIC;23%;22%;22%;19%;15%;16%;17%;15%;16%;11%;7%;6%
&nbspEV/EBIT;63.37;56.48;46.27;42.07;43.33;39.13;35.87;35.10;29.78;30.57;37.11;40.05
&nbspEV/EBITDA;63.35;58.54;47.32;41.56;43.37;39.86;36.15;35.61;29.97;29.92;16.44;14.88
&nbspDiv. Yield;1,01%;0,99%;0,00%;0,15%;0,24%;0,13%;0,00%;0,70%;2,20%;0,69%;0,58%;0,56%
&nbspDiv. Payout;24%;24%;20%;19%;25%;26%;27%;27%;22%;26%;32%;30%
&nbspBeta;0.53;0.95;0.75;0.86;0.19;0.23;0.23;0.24;-0.46;0.04;0.46;0.40
&nbspValorização;72%;27%;86%;16%;-6%;-8%;60%;47%;-36%;101%;40%;8%
&nbspNegócios/dia;2;2;2;4;3;3;3;4;3;3;117;65
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;1;0
