Unnamed: 0;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.23;0.66;0.54;0.77;0.82;0.82;0.57;0.63;0.65;0.65;0.66;0.77;0.68;0.33;0.25;0.10;0.24;0.09;0.21;0.22;0.10;0.07
&nbspP/L;11.88;5.62;7.37;5.83;7.33;6.74;8.48;10.95;4.61;9.18;9.10;8.36;17.49;14.88;13.41;16.64;8.88;36.33;15.71;19.74;28.30;46.34
&nbspVPA;2.46;2.64;3.10;3.44;3.86;4.22;2.43;2.68;3.12;3.27;2.16;2.62;2.93;1.72;1.88;2.09;2.02;2.08;2.31;2.49;2.75;2.80
&nbspP/VP;1.12;1.40;1.29;1.31;1.55;1.30;2.00;2.57;0.96;1.82;2.80;2.45;4.04;2.85;1.81;0.81;1.06;1.55;1.41;1.78;0.99;1.16
&nbspP/EBIT;4.34;2.79;2.11;6.50;6.13;7.67;8.10;10.87;2.94;9.12;7.40;6.72;13.52;11.05;11.34;9.07;6.52;40.26;10.02;16.68;14.97;33.61
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;5.68;6.66;8.86;2.43;7.41;6.76;6.19;12.05;10.05;9.84;7.13;5.62;24.89;8.33;12.44;9.59;14.50
&nbspP/Ativos;0.38;0.36;0.43;0.47;0.57;0.47;0.75;0.75;0.27;0.53;0.89;0.85;1.51;1.06;0.68;0.30;0.40;0.63;0.59;0.81;0.44;0.51
&nbspEbitda;0;0;0;0;0;108;163;174;274;180;398;464;440;435;306;213;354;120;362;338;269;211
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;6%;9%;8%;11%;9%;13%;14%;12%;12%;9%;8%;14%;4%;9%;8%;7%;6%
&nbspPSR;0.27;0.29;0.30;0.39;0.42;0.36;0.62;0.73;0.26;0.65;0.91;0.85;1.39;1.20;0.89;0.55;0.77;1.04;0.72;0.97;0.72;0.87
&nbspROE;9%;25%;18%;22%;21%;19%;24%;24%;21%;20%;31%;29%;23%;19%;13%;5%;12%;4%;9%;9%;3%;2%
&nbspROA;3%;6%;6%;8%;8%;7%;9%;7%;6%;6%;10%;10%;9%;7%;5%;2%;5%;2%;4%;4%;2%;1%
&nbspROIC;10%;15%;22%;8%;10%;7%;10%;8%;10%;6%;18%;20%;15%;13%;8%;5%;9%;2%;8%;7%;4%;2%
&nbspEV/EBIT;65.54;32.83;17.19;46.46;32.71;45.79;27.87;28.87;19.42;30.58;10.57;8.86;10.26;10.80;16.68;26.16;13.34;54.15;13.92;15.23;24.40;47.37
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;33.92;22.93;23.52;16.05;24.85;9.66;8.17;9.14;9.83;14.48;20.55;11.51;33.48;11.57;11.36;15.63;20.43
&nbspDiv. Yield;3,27%;0,00%;4,75%;7,98%;5,67%;6,91%;4,74%;4,78%;8,05%;5,38%;6,46%;5,90%;2,87%;2,45%;4,72%;4,12%;6,05%;0,62%;3,37%;1,35%;5,88%;1,55%
&nbspDiv. Payout;0%;0%;0%;0%;0%;42%;30%;35%;41%;54%;25%;43%;55%;46%;54%;95%;53%;21%;17%;38%;76%;92%
&nbspBeta;0.16;-0.35;0.31;0.37;-0.23;-0.25;-0.19;0.29;0.27;0.09;0.17;0.62;0.51;0.36;0.53;0.70;0.44;0.94;0.66;0.54;0.93;0.70
&nbspValorização;82%;24%;15%;17%;32%;-13%;66%;43%;-56%;92%;108%;5%;102%;-19%;-27%;-41%;37%;52%;6%;37%;-34%;20%
&nbspNegócios/dia;2;2;1;2;1;1;4;10;6;7;17;23;34;34;66;88;110;184;164;180;598;607
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1
