Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.38;1.05;-0.78;0.36;0.19;0.28;-0.93;0.13;-0.54;0.02;0.25;1.39;1.76
&nbspP/L;16.13;9.33;-7.43;14.00;15.45;7.60;-1.83;22.27;-5.81;98.34;40.67;3.67;6.95
&nbspVPA;7.26;7.97;7.19;7.43;7.49;7.74;6.76;6.37;5.76;5.80;6.08;7.28;7.74
&nbspP/VP;3.08;1.22;0.80;0.68;0.38;0.28;0.25;0.44;0.54;0.39;1.68;0.70;1.58
&nbspP/EBIT;13.06;7.24;-9.57;6.89;3.29;2.10;-2.34;2.01;7.00;2.59;9.04;2.60;5.23
&nbspP/EBITDA;11.41;6.14;-22.38;4.39;1.98;1.33;30.20;3.43;3.84;1.83;6.63;2.23;4.50
&nbspP/Ativos;1.43;0.52;0.32;0.24;0.13;0.10;0.08;0.13;0.16;0.11;0.46;0.26;0.59
&nbspEbitda;168;137;-22;99;125;137;5;71;71;108;135;324;385
&nbspMarg. Ebitda;8%;6%;-1%;5%;5%;6%;0%;4%;4%;6%;7%;15%;15%
&nbspPSR;0.88;0.36;0.24;0.20;0.10;0.08;0.08;0.14;0.14;0.10;0.47;0.33;0.69
&nbspROE;19%;13%;-11%;5%;2%;4%;-14%;2%;-9%;0%;4%;19%;23%
&nbspROA;9%;6%;-4%;2%;1%;1%;-4%;1%;-3%;0%;1%;7%;8%
&nbspROIC;15%;9%;-5%;5%;6%;7%;-6%;12%;5%;8%;9%;16%;18%
&nbspEV/EBIT;12.59;18.08;-39.02;34.03;28.95;23.86;-33.47;16.24;49.36;26.29;20.54;7.19;6.06
&nbspEV/EBITDA;10.99;15.35;-91.25;21.70;17.40;15.11;432.56;27.74;27.08;18.57;15.08;6.17;5.22
&nbspDiv. Yield;0,00%;5,95%;4,50%;0,00%;3,14%;2,34%;4,12%;0,00%;1,93%;0,00%;0,00%;0,59%;2,87%
&nbspDiv. Payout;14%;56%;-33%;0%;44%;12%;-6%;0%;-4%;0%;0%;3%;2%
&nbspBeta;0.54;0.83;0.90;0.43;0.66;0.38;0.50;0.59;1.16;0.79;0.65;1.26;0.66
&nbspValorização;209%;-56%;-40%;-12%;-43%;-20%;-14%;73%;10%;-30%;325%;-49%;144%
&nbspNegócios/dia;564;589;1125;640;515;378;300;398;655;483;1482;5386;10274
&nbspVolume diário;6;5;3;1;1;0;0;1;1;1;6;17;72
