Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-30.74;-51.91;-0.94;-7.52;-33.75;1.65;18.27;3.79;15.45;4.45;3.14;0.47
&nbspP/L;-51.72;-10.94;-5.03;-0.12;-0.14;1.48;1.19;21.58;6.42;7.43;22.37;40.03
&nbspVPA;575.88;661.03;12.39;4.89;20.88;13.86;63.23;66.94;75.43;13.12;21.78;7.37
&nbspP/VP;2.76;0.86;0.38;0.19;0.22;0.18;0.34;1.22;1.32;2.52;3.22;2.57
&nbspP/EBIT;-38.45;-6.56;-3.46;-0.10;-0.13;1.92;1.11;25.69;7.74;5.12;10.77;12.09
&nbspP/EBITDA;-38.74;-6.80;-3.79;-0.10;-0.15;1.08;0.87;6.50;5.35;3.34;5.68;6.86
&nbspP/Ativos;2.73;0.62;0.33;0.15;0.13;0.14;0.27;0.85;0.86;0.86;1.50;1.47
&nbspEbitda;-190;-489;-369;-2580;-892;150;329;166;247;1416;1787;2002
&nbspMarg. Ebitda;-1.264%;-5.438%;-6.143%;-64.497%;-183%;59%;83%;31%;29%;86%;94%;86%
&nbspPSR;489.61;369.58;232.88;67.67;0.28;0.64;0.72;2.02;1.56;2.88;5.33;5.88
&nbspROE;-5%;-8%;-8%;-154%;-162%;12%;29%;6%;20%;34%;14%;6%
&nbspROA;-5%;-6%;-7%;-124%;-95%;9%;22%;4%;13%;12%;7%;4%
&nbspROIC;-73%;-13%;-12%;-198%;-194%;13%;56%;7%;26%;20%;16%;19%
&nbspEV/EBIT;-4.85;-3.67;-6.06;-1.15;-2.80;34.37;10.90;68.47;16.57;5.26;5.36;2.47
&nbspEV/EBITDA;-4.88;-3.80;-6.64;-1.16;-3.35;19.24;8.56;17.33;11.46;3.44;2.83;1.40
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.95;1.21;0.92;0.74;0.46;1.32;1.13;0.63;0.62;0.61;1.75;1.07
&nbspValorização;36%;-65%;-59%;-82%;-45%;-43%;91%;249%;16%;219%;96%;27%
&nbspNegócios/dia;167;274;3024;3744;2895;506;70;210;556;3359;15208;25693
&nbspVolume diário;53;61;28;12;7;1;0;2;8;22;164;442
