Unnamed: 0;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.09;2.82;3.40;4.05;4.27;5.22;5.43
&nbspP/L;9.32;9.55;10.70;12.88;14.70;9.38;9.77
&nbspVPA;19.98;21.65;23.87;23.64;25.58;27.74;26.85
&nbspP/VP;1.44;1.24;1.52;2.21;2.45;1.77;1.98
&nbspP/EBIT;27.14;73.08;29.22;13.60;20.53;9.41;10.68
&nbspP/EBITDA;17.28;35.88;21.69;11.29;16.55;7.95;9.13
&nbspP/Ativos;0.40;0.34;0.41;0.55;0.62;0.43;0.47
&nbspEbitda;539;242;542;1493;1225;1992;1880
&nbspMarg. Ebitda;3%;2%;3%;8%;7%;11%;10%
&nbspPSR;0.60;0.54;0.70;0.95;1.12;0.85;0.90
&nbspROE;15%;13%;14%;17%;17%;19%;20%
&nbspROA;4%;4%;4%;4%;4%;5%;5%
&nbspROIC;2%;1%;2%;6%;4%;6%;6%
&nbspEV/EBIT;23.33;63.56;15.40;5.31;7.28;4.11;4.61
&nbspEV/EBITDA;14.85;31.20;11.43;4.41;5.87;3.47;3.94
&nbspDiv. Yield;2,22%;4,94%;4,13%;7,77%;3,38%;4,37%;5,29%
&nbspDiv. Payout;43%;38%;30%;95%;56%;41%;39%
&nbspBeta;0.65;0.70;0.43;0.41;0.45;0.51;0.75
&nbspValorização;-5%;-2%;41%;56%;25%;-20%;11%
&nbspNegócios/dia;3086;3122;2696;4188;4638;5882;5854
&nbspVolume diário;20;17;16;33;42;53;55
