Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.14;0.22;0.16;0.42;0.58;0.60;0.34;0.02;0.41;0.85;0.09;0.81;0.93
&nbspP/L;10.41;9.22;10.76;10.77;8.61;8.01;6.05;107.24;13.39;6.09;60.79;8.49;18.18
&nbspVPA;0.16;0.38;0.51;0.80;1.20;1.50;1.46;1.50;1.80;2.28;2.32;2.63;2.50
&nbspP/VP;8.81;5.38;3.46;5.60;4.15;3.21;1.41;1.35;3.05;2.27;2.32;2.61;6.73
&nbspP/EBIT;5.20;4.61;4.18;6.07;5.70;4.78;2.42;4.23;5.84;3.36;11.20;9.37;16.81
&nbspP/EBITDA;0.00;0.00;0.00;5.36;5.04;4.16;1.96;2.79;4.60;2.86;6.55;6.12;11.23
&nbspP/Ativos;0.48;0.57;0.49;1.02;0.88;0.67;0.24;0.26;0.69;0.51;0.46;0.53;1.34
&nbspEbitda;0;0;0;133;157;183;167;115;189;288;130;178;238
&nbspMarg. Ebitda;0%;0%;0%;19%;19%;19%;16%;11%;18%;27%;12%;13%;16%
&nbspPSR;0.60;0.63;0.48;1.01;0.95;0.80;0.31;0.32;0.85;0.78;0.76;0.82;1.81
&nbspROE;85%;58%;32%;52%;48%;40%;23%;1%;23%;37%;4%;31%;37%
&nbspROA;5%;6%;5%;9%;10%;8%;4%;0%;5%;8%;1%;6%;7%
&nbspROIC;11%;15%;14%;23%;20%;18%;13%;7%;14%;17%;5%;8%;10%
&nbspEV/EBIT;57.19;36.24;37.56;21.50;19.02;17.37;21.60;38.01;18.97;11.92;38.52;24.21;19.85
&nbspEV/EBITDA;0.00;0.00;0.00;18.97;16.81;15.09;17.49;25.05;14.95;10.14;22.54;15.81;13.27
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,89%;2,01%;3,96%;13,59%;2,46%;1,28%;3,85%;2,79%;0,58%;2,43%
&nbspDiv. Payout;0%;0%;0%;0%;16%;31%;81%;267%;15%;21%;200%;5%;16%
&nbspBeta;0.19;0.40;0.57;0.19;0.23;0.39;0.08;0.51;1.17;0.72;0.93;1.10;0.76
&nbspValorização;44%;46%;-12%;162%;15%;0%;-53%;7%;174%;-7%;2%;28%;164%
&nbspNegócios/dia;21;36;16;34;132;89;59;225;961;986;1092;3511;6629
&nbspVolume diário;0;0;0;0;1;1;0;1;2;2;3;12;41
