Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.12;0.09;-0.04;0.52;0.89;1.51;1.34;1.41;1.39;1.40;1.56
&nbspP/L;-136.14;223.47;-599.85;53.91;15.95;12.72;23.15;9.17;26.68;25.02;18.61
&nbspVPA;7.45;7.56;7.55;8.60;7.27;7.41;8.19;8.31;5.02;5.93;6.35
&nbspP/VP;2.25;2.80;2.98;3.23;1.94;2.60;3.79;1.55;7.39;5.90;4.57
&nbspP/EBIT;363.03;69.83;25.86;18.68;9.16;10.86;14.71;5.56;17.39;16.29;12.47
&nbspP/EBITDA;53.25;23.12;14.67;12.26;6.02;19.35;10.70;3.73;10.69;10.17;8.09
&nbspP/Ativos;1.53;1.81;1.85;2.01;1.13;1.50;2.54;1.03;3.12;2.25;1.88
&nbspEbitda;82;242;409;620;644;277;837;980;985;977;1019
&nbspMarg. Ebitda;12%;26%;34%;42%;37%;14%;40%;51%;49%;48%;50%
&nbspPSR;6.44;6.07;5.00;5.09;2.24;2.73;4.32;1.89;5.26;4.91;4.03
&nbspROE;-2%;1%;0%;6%;12%;20%;16%;17%;28%;24%;25%
&nbspROA;-1%;1%;0%;4%;7%;12%;11%;11%;12%;9%;10%
&nbspROIC;1%;3%;9%;14%;15%;17%;22%;24%;23%;21%;23%
&nbspEV/EBIT;672.28;102.99;34.25;19.79;19.43;16.60;13.34;12.49;14.71;14.24;13.36
&nbspEV/EBITDA;98.61;34.10;19.44;12.99;12.77;29.56;9.71;8.37;9.05;8.90;8.66
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;3,04%;8,83%;4,42%;5,59%;3,53%;0,49%;7,54%
&nbspDiv. Payout;0%;0%;0%;0%;48%;109%;61%;89%;93%;13%;18%
&nbspBeta;0.64;0.26;0.41;0.54;0.66;0.72;0.90;1.03;0.86;0.98;0.76
&nbspValorização;11%;23%;5%;22%;-46%;56%;73%;-57%;191%;-10%;-14%
&nbspNegócios/dia;131;1247;3423;6759;8548;8165;8988;11334;10143;16705;12623
&nbspVolume diário;4;20;32;53;49;35;60;66;63;130;92
