Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.21;0.32;0.31;0.68;1.04;1.37;1.56;1.55;2.39;0.30;0.33
&nbspP/L;62.10;71.23;47.87;37.43;34.16;44.63;59.01;36.95;46.75;83.23;75.07
&nbspVPA;6.66;6.85;7.04;7.46;8.00;8.88;9.84;10.70;12.34;2.68;2.72
&nbspP/VP;1.95;3.37;2.10;3.40;4.44;6.89;9.33;5.34;9.05;9.35;9.22
&nbspP/EBIT;49.25;52.93;32.55;27.01;23.27;28.64;38.25;26.15;32.96;45.16;41.61
&nbspP/EBITDA;32.67;37.72;15.82;16.81;16.05;46.89;26.83;16.63;17.08;19.76;18.85
&nbspP/Ativos;1.65;2.28;1.35;2.06;2.52;3.57;4.69;2.57;3.01;2.99;2.92
&nbspEbitda;131;202;309;497;728;431;1131;1136;2160;2093;2194
&nbspMarg. Ebitda;6%;7%;5%;7%;8%;4%;9%;8%;12%;10%;11%
&nbspPSR;1.85;2.56;0.78;1.13;1.32;1.80;2.30;1.28;2.10;2.06;1.99
&nbspROE;3%;5%;4%;9%;13%;15%;16%;14%;19%;11%;12%
&nbspROA;3%;3%;3%;6%;7%;8%;8%;7%;6%;4%;4%
&nbspROIC;4%;6%;6%;11%;16%;19%;18%;15%;12%;9%;10%
&nbspEV/EBIT;485.43;293.86;281.95;136.86;84.29;60.09;53.76;59.41;38.53;47.01;42.87
&nbspEV/EBITDA;322.00;209.42;137.06;85.14;58.12;98.41;37.71;37.77;19.97;20.57;19.42
&nbspDiv. Yield;1,08%;0,52%;0,81%;0,55%;1,55%;0,72%;0,66%;1,10%;0,57%;1,64%;0,48%
&nbspDiv. Payout;42%;32%;28%;18%;35%;34%;33%;34%;24%;38%;34%
&nbspBeta;-0.14;0.35;0.39;0.30;0.62;0.47;0.57;0.62;0.63;0.46;0.72
&nbspValorização;0%;76%;-37%;69%;44%;75%;53%;-36%;98%;10%;0%
&nbspNegócios/dia;846;2749;3207;3264;5938;6548;6173;6352;6414;12528;19525
&nbspVolume diário;14;22;23;22;47;67;85;92;102;179;151
