Unnamed: 0;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.74;-0.79;-0.16;0.18;0.50;0.17;0.41
&nbspP/L;-3.58;-7.82;-78.99;96.73;51.70;116.15;47.54
&nbspVPA;3.30;4.24;5.14;5.32;5.53;8.25;8.34
&nbspP/VP;1.89;1.45;2.52;3.20;4.72;2.33;2.32
&nbspP/EBIT;-236.42;28.55;14.28;15.14;19.25;18.29;16.33
&nbspP/EBITDA;4.10;5.21;7.33;8.17;10.63;9.39;8.01
&nbspP/Ativos;0.28;0.36;0.77;0.98;1.24;0.78;0.86
&nbspEbitda;1038;1579;2757;3242;3829;3797;4473
&nbspMarg. Ebitda;25%;37%;46%;49%;54%;55%;61%
&nbspPSR;1.03;1.91;3.40;4.03;5.74;5.12;4.92
&nbspROE;-53%;-19%;-3%;3%;9%;2%;5%
&nbspROA;-8%;-5%;-1%;1%;2%;1%;2%
&nbspROIC;0%;1%;6%;7%;7%;5%;6%
&nbspEV/EBIT;-2338.02;153.82;32.80;27.07;22.10;25.19;21.96
&nbspEV/EBITDA;40.56;28.05;16.85;14.62;12.20;12.93;10.78
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;-1%;1%;1%;0%;4%
&nbspBeta;1.16;1.11;1.35;0.99;0.73;1.00;1.06
&nbspValorização;-54%;2%;112%;31%;54%;-27%;1%
&nbspNegócios/dia;7398;10967;14125;15911;21378;28333;26245
&nbspVolume diário;19;46;89;104;169;222;211
