Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.71;4.57;1.11;0.17;0.41;0.35;0.01;-0.07;-0.64;0.02;-0.48;0.37;0.51
&nbspP/L;8.29;5.91;17.12;9.61;7.97;9.37;250.91;-36.07;-3.10;122.96;-8.34;14.72;17.43
&nbspVPA;54.54;57.63;57.26;2.80;2.93;2.98;2.38;2.67;2.04;1.85;2.02;3.06;3.28
&nbspP/VP;0.41;0.47;0.33;0.57;1.13;1.09;1.27;0.89;0.98;1.59;1.98;1.76;2.73
&nbspP/EBIT;5.53;2.60;2.66;3.41;5.00;5.38;5.34;5.51;55.30;4.17;3.25;8.34;10.60
&nbspP/EBITDA;1.92;1.63;1.36;1.92;3.34;3.16;2.90;2.02;3.27;2.63;2.04;5.70;7.71
&nbspP/Ativos;0.17;0.19;0.13;0.21;0.34;0.32;0.30;0.24;0.22;0.32;0.42;0.76;1.21
&nbspEbitda;95;135;114;135;165;172;173;197;101;187;327;243;298
&nbspMarg. Ebitda;27%;30%;24%;28%;27%;23%;23%;25%;12%;20%;36%;24%;26%
&nbspPSR;0.52;0.50;0.32;0.54;0.91;0.74;0.66;0.51;0.39;0.53;0.74;1.34;2.00
&nbspROE;5%;8%;2%;6%;14%;12%;1%;-2%;-31%;1%;-24%;12%;16%
&nbspROA;2%;3%;1%;2%;4%;3%;0%;-1%;-7%;0%;-5%;5%;7%
&nbspROIC;3%;8%;5%;7%;8%;7%;7%;5%;0%;9%;15%;12%;16%
&nbspEV/EBIT;79.52;31.20;45.26;34.83;25.75;29.15;33.12;42.43;503.86;25.66;14.95;15.53;11.49
&nbspEV/EBITDA;27.59;19.49;23.10;19.57;17.18;17.13;17.97;15.53;29.84;16.22;9.36;10.62;8.36
&nbspDiv. Yield;0,18%;3,22%;10,52%;48,12%;4,55%;4,29%;3,65%;0,00%;1,01%;0,00%;0,50%;1,30%;2,23%
&nbspDiv. Payout;0%;8%;144%;70%;33%;38%;850%;0%;-4%;0%;-4%;17%;20%
&nbspBeta;0.11;0.52;1.06;0.08;0.51;0.09;0.23;0.08;0.69;0.17;0.21;0.76;0.75
&nbspValorização;-17%;16%;-30%;78%;125%;10%;-8%;-21%;-17%;51%;38%;32%;70%
&nbspNegócios/dia;3;2;3;13;4;6;4;4;6;10;43;2190;5665
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;5;18
