Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.01;-0.17;0.11;0.20;0.27;0.72;1.22;1.13;1.21;1.58;1.95;1.35;1.46;1.58;0.42;1.28;0.82;0.00;-0.03;0.30;0.66;0.87;2.41;2.91
&nbspP/L;-21.01;-1.73;5.16;2.75;4.39;3.59;5.64;6.38;6.63;9.88;2.97;10.00;6.52;4.74;23.09;7.74;4.28;0.00;-78.27;17.29;10.34;12.77;4.85;4.47
&nbspVPA;1.21;1.13;1.13;1.19;1.24;1.76;2.67;3.36;4.52;5.42;6.73;7.51;6.71;7.72;7.70;6.81;5.79;5.27;5.47;5.52;5.91;6.29;7.70;8.26
&nbspP/VP;0.12;0.27;0.49;0.46;0.97;1.48;2.58;2.14;1.77;2.88;0.86;1.80;1.42;0.97;1.27;1.45;0.61;0.36;0.46;0.95;1.15;1.77;1.52;1.58
&nbspP/EBIT;10.50;1.15;1.72;1.09;1.82;2.63;3.72;4.65;5.09;7.31;2.04;8.89;5.09;3.93;14.02;5.33;2.87;15.06;41.00;9.50;5.37;7.25;3.99;3.62
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.97;4.35;6.35;1.78;7.21;4.30;3.30;8.40;4.23;2.16;3.54;-8.61;5.89;4.19;5.78;3.39;3.04
&nbspP/Ativos;0.05;0.10;0.17;0.17;0.31;0.54;1.07;0.92;0.93;1.39;0.42;0.84;0.62;0.45;0.54;0.49;0.22;0.11;0.18;0.37;0.40;0.61;0.45;0.47
&nbspEbitda;0;0;0;0;0;0;0;273;297;394;523;301;532;547;280;564;490;162;-100;308;560;667;1194;1482
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;14%;15%;16%;17%;12%;14%;13%;8%;13%;13%;5%;-4%;10%;13%;13%;22%;24%
&nbspPSR;0.19;0.09;0.13;0.12;0.22;0.34;0.63;0.56;0.64;0.99;0.30;0.88;0.62;0.43;0.67;0.56;0.28;0.18;0.33;0.62;0.55;0.76;0.75;0.74
&nbspROE;-1%;-15%;9%;17%;22%;41%;46%;34%;27%;29%;29%;18%;22%;20%;5%;19%;14%;0%;-1%;6%;11%;14%;31%;35%
&nbspROA;0%;-6%;3%;6%;7%;15%;19%;15%;14%;14%;14%;8%;9%;9%;2%;6%;5%;0%;0%;2%;4%;5%;9%;11%
&nbspROIC;0%;9%;11%;17%;18%;22%;32%;22%;20%;20%;21%;10%;20%;17%;6%;13%;12%;1%;1%;6%;12%;13%;18%;20%
&nbspEV/EBIT;2417.07;124.41;102.52;64.37;49.71;33.19;17.77;21.57;19.74;15.16;11.82;22.98;10.68;11.12;32.73;13.26;15.67;160.50;254.86;27.71;13.38;10.56;5.80;5.13
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.42;16.89;13.16;10.31;18.63;9.03;9.35;19.63;10.51;11.82;37.68;-53.55;17.17;10.45;8.43;4.92;4.30
&nbspDiv. Yield;0,00%;3,33%;0,00%;5,45%;3,33%;1,15%;3,33%;4,31%;3,50%;2,05%;5,69%;3,04%;3,16%;3,47%;2,25%;2,43%;7,67%;2,11%;0,00%;0,76%;1,62%;2,42%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;23%;18%;14%;17%;35%;12%;23%;82%;18%;40%;0%;-100%;51%;41%;50%;14%;11%
&nbspBeta;0.00;0.00;1.14;3.32;1.04;-0.57;-0.17;0.80;0.25;0.41;0.32;0.14;0.48;0.68;0.29;0.35;0.51;0.72;0.92;1.28;0.87;0.52;1.01;0.87
&nbspValorização;-62%;0%;83%;10%;88%;108%;143%;3%;19%;95%;-64%;135%;9%;-20%;23%;0%;-50%;-40%;51%;110%;25%;75%;2%;14%
&nbspNegócios/dia;2;2;2;3;2;2;2;2;3;4;4;5;6;5;4;8;9;8;14;16;22;21;58;103
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
