Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.08;-0.50;-0.06;-0.03;-0.18;-5.14;-0.76;-7.09;-2.36;-0.04;0.00;0.01
&nbspP/L;-18.66;-1.32;-1.62;-2.33;-0.22;-0.58;-2.62;-0.41;-1.18;-44.48;0.00;481.48
&nbspVPA;-0.22;-0.74;-0.15;-0.18;-0.37;-33.44;-2.13;-22.83;-12.40;-0.88;-0.84;-0.78
&nbspP/VP;-6.67;-0.90;-0.60;-0.38;-0.11;-0.09;-0.94;-0.13;-0.22;-1.99;-12.32;-8.16
&nbspP/EBIT;23.33;-2.01;-3.50;-8.17;-0.42;-1.85;-12.64;-0.56;-3.53;0.00;394.28;240.74
&nbspP/EBITDA;25.45;-1.96;-3.20;-10.83;-0.43;0.00;0.00;-0.27;0.00;0.00;556.11;211.92
&nbspP/Ativos;1.03;0.55;0.23;0.17;0.25;0.26;1.61;0.40;0.35;3.51;17.92;8.75
&nbspEbitda;4;-21;-7;-2;-22;0;0;-55;0;0;1;2
&nbspMarg. Ebitda;11%;-268%;-55%;-8%;-1.078%;0%;0%;0%;0%;0%;5%;6%
&nbspPSR;2.83;5.27;1.75;0.86;4.67;0.00;0.00;0.00;3.53;7.41;28.16;13.37
&nbspROE;36%;68%;37%;16%;50%;15%;36%;31%;19%;4%;0%;-2%
&nbspROA;-5%;-42%;-14%;-7%;-116%;-46%;-62%;-97%;-30%;-8%;0%;2%
&nbspROIC;5%;-30%;-7%;-2%;-69%;-17%;-14%;-79%;-11%;0%;5%;4%
&nbspEV/EBIT;38.27;-7.39;-25.18;-77.05;-7.32;-32.62;-25.52;-5.89;-36.27;0.00;73.05;83.30
&nbspEV/EBITDA;41.76;-7.22;-23.06;-102.19;-7.48;0.00;0.00;-2.79;0.00;0.00;103.03;73.33
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;1.50;0.65;-0.59;1.09;0.06;36.44;0.84;-0.14;1.27;0.37;0.80;0.85
&nbspValorização;-9%;-53%;-87%;-12%;-50%;-26%;-20%;-40%;-68%;-34%;494%;-37%
&nbspNegócios/dia;3;5;8;7;5;7;10;15;25;47;429;4296
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;1;14
