Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.84;1.71;0.58;1.50;1.23;1.77;2.77;1.74;0.24;-1.71;-2.12;-0.62;0.05;0.11;0.39
&nbspP/L;25.06;4.59;31.17;11.11;9.06;7.14;4.73;5.63;18.95;-3.18;-2.89;-8.92;344.91;101.90;30.90
&nbspVPA;11.18;12.35;12.80;13.94;14.83;16.18;20.13;20.71;20.09;17.23;14.85;14.30;14.23;14.28;14.39
&nbspP/VP;1.89;0.64;1.40;1.20;0.75;0.78;0.65;0.47;0.22;0.32;0.41;0.38;1.11;0.82;0.83
&nbspP/EBIT;171.23;5.02;19.84;7.87;4.45;4.85;3.93;5.42;27.07;-3.56;-3.20;-7.08;76.65;39.19;21.01
&nbspP/EBITDA;181.54;4.94;17.43;7.28;4.23;4.59;3.69;4.65;10.61;-3.15;-3.64;-8.58;53.18;30.11;18.15
&nbspP/Ativos;1.34;0.37;0.60;0.37;0.26;0.35;0.29;0.22;0.11;0.15;0.23;0.20;0.48;0.32;0.31
&nbspEbitda;6;77;50;111;126;132;169;93;18;-76;-74;-28;13;17;29
&nbspMarg. Ebitda;4%;19%;11%;16%;17%;17%;22%;13%;3%;-20%;-26%;-15%;4%;5%;8%
&nbspPSR;8.03;0.95;1.87;1.15;0.72;0.76;0.83;0.61;0.34;0.62;0.93;1.32;2.16;1.61;1.50
&nbspROE;8%;14%;5%;11%;8%;11%;14%;8%;1%;-10%;-14%;-4%;0%;1%;3%
&nbspROA;5%;8%;2%;3%;3%;5%;6%;4%;1%;-5%;-8%;-2%;0%;0%;1%
&nbspROIC;1%;7%;3%;5%;8%;8%;10%;5%;1%;-5%;-8%;-3%;1%;1%;2%
&nbspEV/EBIT;99.12;9.54;22.84;11.52;8.39;6.35;5.31;9.15;119.39;-14.35;-9.10;-22.43;93.19;69.36;37.00
&nbspEV/EBITDA;105.10;9.38;20.06;10.66;7.98;6.00;5.00;7.84;46.80;-12.70;-10.35;-27.20;64.66;53.29;31.97
&nbspDiv. Yield;0,85%;0,25%;2,23%;0,84%;3,14%;2,69%;8,32%;5,31%;8,50%;4,40%;0,00%;0,00%;0,00%;0,09%;0,08%
&nbspDiv. Payout;22%;23%;68%;8%;29%;19%;63%;71%;260%;-21%;-5%;0%;0%;0%;0%
&nbspBeta;0.55;0.44;0.62;0.40;0.65;0.33;0.36;0.25;0.48;0.37;0.50;0.43;0.43;0.81;0.54
&nbspValorização;-6%;-63%;136%;-8%;-33%;13%;8%;-21%;-53%;34%;10%;-11%;194%;-26%;5%
&nbspNegócios/dia;120;41;41;45;56;53;184;123;52;33;12;22;42;136;75
&nbspVolume diário;3;1;1;1;1;1;1;1;0;0;0;0;0;1;0
