Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.55;-1.16;-1.71;-2.90;-0.30;1.00;0.25;0.10;0.06;0.28;0.48;0.58;0.76
&nbspP/L;12.30;-4.72;-2.34;-0.70;-3.97;0.83;4.88;23.39;50.57;24.67;17.74;19.15;11.77
&nbspVPA;7.56;8.22;4.43;-1.23;-1.53;1.73;1.96;1.99;2.01;2.11;2.28;2.72;2.56
&nbspP/VP;0.90;0.67;0.90;-1.66;-0.78;0.48;0.62;1.17;1.44;3.28;3.72;4.11;3.47
&nbspP/EBIT;2.82;2.28;1.88;41.44;127.98;1.46;4.78;7.61;8.21;12.08;10.52;12.85;8.40
&nbspP/EBITDA;1.86;1.46;1.23;22.00;47.95;1.01;2.17;4.20;4.53;7.97;7.63;9.52;6.54
&nbspP/Ativos;0.19;0.14;0.13;0.31;0.18;0.12;0.16;0.34;0.40;0.86;0.93;1.09;0.90
&nbspEbitda;1179;1204;1383;40;11;1406;956;1141;1317;1793;2291;2470;2872
&nbspMarg. Ebitda;21%;18%;18%;1%;11%;29%;12%;15%;15%;18%;20%;22%;24%
&nbspPSR;0.38;0.26;0.22;0.24;5.17;0.29;0.26;0.62;0.66;1.42;1.56;2.08;1.58
&nbspROE;7%;-14%;-39%;235%;20%;58%;13%;5%;3%;13%;21%;21%;30%
&nbspROA;2%;-3%;-6%;-44%;-5%;14%;3%;1%;1%;4%;5%;6%;8%
&nbspROIC;7%;7%;8%;1%;0%;10%;4%;5%;6%;8%;10%;11%;13%
&nbspEV/EBIT;28.65;29.78;25.91;919.70;4836.20;19.38;46.67;32.01;29.39;19.63;14.70;12.42;10.56
&nbspEV/EBITDA;18.87;19.12;17.05;488.36;1811.99;13.46;21.19;17.67;16.23;12.94;10.67;9.21;8.22
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,58%;0,69%;0,14%;0,00%;0,00%;3,37%
&nbspDiv. Payout;12%;-22%;-3%;0%;0%;0%;7%;50%;39%;32%;111%;19%;69%
&nbspBeta;0.48;-0.39;0.88;2.77;-0.23;0.23;-1.35;0.04;0.18;0.15;0.08;0.08;0.00
&nbspValorização;35%;-12%;-32%;-49%;-40%;-39%;46%;100%;25%;138%;22%;30%;-20%
&nbspNegócios/dia;4;7;3;4;5;3;5;3;22;15;12;10;42
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0
