Unnamed: 0;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.55;1.80;0.78;0.70;0.52;1.30;1.48;1.22;1.85;1.98;1.95;1.94;0.76;0.99;1.10;1.38;1.71
&nbspP/L;18.49;35.70;24.12;10.16;37.04;20.67;17.32;30.64;17.98;18.05;12.76;17.63;28.97;30.03;43.01;49.85;37.65
&nbspVPA;5.28;5.62;2.40;2.72;3.08;4.55;5.67;6.67;6.45;7.95;9.32;10.37;3.90;4.64;7.18;7.98;8.54
&nbspP/VP;5.43;11.43;7.87;2.61;6.28;5.92;4.51;5.62;5.16;4.49;2.66;3.30;5.66;6.41;6.60;8.64;7.56
&nbspP/EBIT;9.20;20.19;13.28;4.35;15.02;10.82;8.48;15.94;10.62;10.23;7.01;9.39;15.17;15.81;24.13;29.02;23.58
&nbspP/EBITDA;5.11;10.16;6.82;2.00;5.89;7.89;6.16;8.50;7.55;7.67;5.53;7.14;11.87;12.48;16.25;21.19;18.53
&nbspP/Ativos;1.67;2.80;2.14;0.68;1.49;1.58;1.26;1.84;1.51;1.31;0.84;0.98;1.32;1.42;1.85;2.56;2.41
&nbspEbitda;355;425;558;701;647;673;821;876;917;970;935;1016;1240;1590;2213;2468;2641
&nbspMarg. Ebitda;42%;38%;37%;38%;36%;27%;28%;28%;26%;25%;24%;23%;20%;20%;22%;24%;26%
&nbspPSR;2.12;3.84;2.53;0.77;2.10;2.13;1.73;2.35;1.97;1.91;1.32;1.63;2.43;2.51;3.53;5.07;4.75
&nbspROE;29%;32%;33%;26%;17%;29%;26%;18%;29%;25%;21%;19%;20%;21%;15%;17%;20%
&nbspROA;9%;8%;9%;7%;4%;8%;7%;6%;8%;7%;7%;6%;5%;5%;4%;5%;6%
&nbspROIC;19%;17%;18%;16%;11%;20%;21%;16%;21%;21%;18%;16%;13%;13%;11%;12%;13%
&nbspEV/EBIT;251.43;231.42;173.79;156.23;198.66;102.24;84.37;107.39;77.08;69.11;68.60;66.08;54.42;43.13;37.23;30.77;26.81
&nbspEV/EBITDA;139.65;116.46;89.34;71.75;77.93;74.56;61.23;57.27;54.83;51.81;54.08;50.23;42.56;34.04;25.07;22.47;21.08
&nbspDiv. Yield;1,36%;0,98%;16,52%;3,94%;0,78%;1,04%;1,48%;1,17%;4,57%;1,37%;2,98%;2,16%;2,81%;0,87%;0,86%;0,51%;0,42%
&nbspDiv. Payout;35%;36%;142%;40%;38%;13%;27%;35%;82%;24%;34%;34%;33%;26%;33%;26%;20%
&nbspBeta;0.45;0.89;0.88;0.92;0.76;0.94;0.82;0.71;0.60;0.72;0.78;0.95;0.73;1.22;1.00;1.02;1.03
&nbspValorização;153%;129%;-8%;-59%;172%;39%;-6%;41%;-10%;10%;-28%;50%;102%;32%;55%;40%;-5%
&nbspNegócios/dia;53;170;296;492;744;1222;2934;3902;4325;4349;4798;5265;7360;15695;18294;27979;23081
&nbspVolume diário;4;11;13;8;12;16;23;33;41;37;29;37;65;115;184;332;343
