Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;13.29;1.45;1.56;0.17;0.94;0.05;-0.52;0.04;0.12;0.11;-0.62;0.59;1.35;2.07;2.39;2.11
&nbspP/L;11.89;15.29;4.87;67.45;15.49;124.72;-8.96;142.32;24.67;16.31;-4.11;13.08;6.23;8.49;6.47;11.61
&nbspVPA;52.25;8.30;8.93;9.15;9.39;9.17;8.88;9.04;9.37;10.18;9.56;10.23;11.09;12.06;11.10;11.39
&nbspP/VP;3.02;2.67;0.85;1.28;1.54;0.73;0.52;0.66;0.31;0.17;0.27;0.75;0.76;1.46;1.39;2.16
&nbspP/EBIT;10.34;15.70;5.18;97.43;13.90;-49.89;-6.50;14.72;19.73;-57.09;-3.64;9.49;11.52;10.51;10.49;14.06
&nbspP/EBITDA;9.27;13.95;4.57;30.10;10.72;28.13;-23.13;6.63;4.41;3.52;-15.95;5.94;6.68;7.99;12.38;15.83
&nbspP/Ativos;1.13;1.27;0.35;0.50;0.58;0.28;0.21;0.30;0.15;0.09;0.15;0.45;0.43;0.81;0.65;1.01
&nbspEbitda;112;125;127;29;101;18;-14;64;45;32;-10;82;79;138;92;114
&nbspMarg. Ebitda;20%;20%;18%;6%;15%;3%;-2%;10%;7%;5%;-2%;12%;11%;18%;9%;11%
&nbspPSR;1.89;2.76;0.83;1.85;1.61;0.79;0.54;0.64;0.30;0.19;0.27;0.72;0.71;1.44;1.16;1.75
&nbspROE;25%;17%;17%;2%;10%;1%;-6%;0%;1%;1%;-6%;6%;12%;17%;21%;19%
&nbspROA;10%;8%;7%;1%;4%;0%;-2%;0%;1%;1%;-4%;3%;7%;10%;10%;9%
&nbspROIC;11%;8%;7%;1%;5%;-1%;-3%;2%;1%;0%;-5%;6%;4%;9%;8%;9%
&nbspEV/EBIT;22.44;22.10;23.67;306.18;33.10;-266.16;-50.21;79.68;218.56;-1039.80;-46.35;38.48;44.47;19.37;18.95;16.25
&nbspEV/EBITDA;20.11;19.62;20.91;94.59;25.54;150.11;-178.66;35.86;48.79;64.18;-202.96;24.07;25.78;14.73;22.37;18.30
&nbspDiv. Yield;6,93%;22,98%;6,84%;1,11%;3,45%;4,90%;0,00%;0,00%;0,00%;1,73%;0,78%;1,04%;8,78%;6,38%;15,53%;8,44%
&nbspDiv. Payout;28%;106%;25%;100%;47%;850%;0%;0%;12%;29%;-5%;0%;25%;35%;50%;74%
&nbspBeta;0.29;0.70;0.59;0.23;0.66;0.37;0.10;-0.04;0.34;0.30;0.54;0.99;0.64;0.68;0.81;0.55
&nbspValorização;134%;27%;-64%;58%;29%;-50%;-31%;31%;-51%;-39%;54%;193%;14%;122%;10%;58%
&nbspNegócios/dia;2;103;95;51;52;70;69;59;136;110;104;191;346;625;1920;6279
&nbspVolume diário;0;4;2;1;1;1;0;0;0;0;0;1;1;2;6;41
