Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.43;0.12;-0.18;-0.02;-0.39;-0.50;-0.14;-0.36;-8.35;-3.49;-2.63;-3.35;-6.09;-4.85
&nbspP/L;-1.41;2.70;-3.71;-57.93;-0.66;-0.54;-1.91;-0.51;-0.86;-2.27;-1.14;-1.53;-0.46;-1.17
&nbspVPA;-0.39;-0.11;-0.25;-0.23;-0.56;-0.99;-0.82;-1.16;-31.60;-35.09;-37.70;-41.07;-47.17;-47.36
&nbspP/VP;-1.54;-3.13;-2.60;-5.82;-0.46;-0.27;-0.32;-0.15;-0.23;-0.23;-0.08;-0.12;-0.06;-0.12
&nbspP/EBIT;-1.53;2.68;-4.44;86.89;-0.77;-0.62;-2.27;-0.82;-0.84;-1.86;-1.02;-1.79;-0.50;-1.26
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.50;-1.27
&nbspP/Ativos;3.58;0.73;1.03;2.02;0.76;0.83;1.11;0.66;0.76;0.45;0.11;0.14;0.06;0.11
&nbspEbitda;0;0;0;0;0;0;0;0;0;0;0;0;-382;-302
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;-26%;-20%
&nbspPSR;1.45;0.83;0.44;0.52;0.13;2.19;1.48;0.34;0.69;0.77;0.20;0.29;0.13;0.25
&nbspROE;109%;-116%;70%;10%;70%;50%;17%;31%;26%;10%;7%;8%;13%;10%
&nbspROA;-254%;27%;-28%;-3%;-115%;-152%;-58%;-131%;-88%;-20%;-10%;-9%;-13%;-10%
&nbspROIC;-472%;29%;-26%;3%;-105%;-144%;-61%;-85%;-94%;-25%;-12%;-8%;-12%;-9%
&nbspEV/EBIT;-1.11;3.80;-3.24;29.30;-1.21;-0.94;-2.49;-1.32;-0.67;-1.34;-1.80;-1.78;-0.90;-1.10
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.90;-1.11
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.46;0.67;0.66;0.81;0.00;0.31;0.32;0.21;-1.05;0.35;0.21;1.19;0.99;0.84
&nbspValorização;-50%;-48%;41%;105%;-80%;8%;-4%;-31%;90%;9%;-64%;69%;-46%;102%
&nbspNegócios/dia;11;26;1606;990;682;99;99;51;47;26;13;173;149;392
&nbspVolume diário;0;0;10;8;3;0;0;0;0;0;0;1;0;1
