Unnamed: 0;2020;2021
&nbspLPA;-2.52;-2.68
&nbspP/L;-14.76;-17.19
&nbspVPA;9.84;16.64
&nbspP/VP;3.78;2.76
&nbspP/EBIT;-23.68;-45.37
&nbspP/EBITDA;-24.80;-50.94
&nbspP/Ativos;1.93;1.68
&nbspEbitda;-164;-99
&nbspMarg. Ebitda;-81%;-30%
&nbspPSR;19.97;15.35
&nbspROE;-26%;-16%
&nbspROA;-13%;-10%
&nbspROIC;-12%;-5%
&nbspEV/EBIT;-29.02;-45.38
&nbspEV/EBITDA;-30.39;-50.95
&nbspDiv. Yield;0,00%;0,00%
&nbspDiv. Payout;0%;0%
&nbspBeta;0.25;0.72
&nbspValorização;77%;26%
&nbspNegócios/dia;832;4843
&nbspVolume diário;9;46
