Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.09;0.11;0.13;-0.07;0.04;-0.01;0.07;0.07;0.57;1.81;0.68;0.90;0.71;0.30;-0.50;0.15;-7.25;-6.55;-30.72;-20.46;-35.33;-18.13;-0.47;2.39
&nbspP/L;4.29;5.79;4.32;-5.58;7.21;-42.55;8.48;36.61;47.60;25.20;5.59;17.02;20.93;26.99;-9.14;14.02;-0.47;-0.10;-0.09;-0.35;-0.15;-0.50;-14.22;4.48
&nbspVPA;1.40;1.45;1.53;1.46;2.22;0.73;0.80;0.86;13.75;14.99;6.49;8.62;7.45;7.44;5.61;5.88;22.00;15.15;42.73;21.51;-14.28;-32.76;-32.24;-33.93
&nbspP/VP;0.29;0.43;0.37;0.27;0.13;0.60;0.71;3.10;1.99;3.03;0.58;1.77;1.98;1.07;0.81;0.35;0.15;0.04;0.06;0.33;-0.37;-0.28;-0.21;-0.32
&nbspP/EBIT;8.58;10.14;24.46;-4.18;-6.01;-14.18;6.48;24.41;-305.99;27.76;5.59;16.54;18.82;14.60;266.26;4.39;-0.80;-0.16;-0.15;-0.28;-0.21;-0.53;-0.30;-0.56
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-300.50;27.50;5.19;14.93;17.21;12.18;43.80;3.99;-0.82;-0.17;-0.16;-0.30;-0.21;-0.54;-0.30;-0.58
&nbspP/Ativos;0.11;0.17;0.17;0.13;0.06;0.24;0.23;1.29;1.44;1.60;0.25;0.92;0.77;0.30;0.23;0.11;0.04;0.01;0.01;0.03;0.04;0.08;0.07;0.12
&nbspEbitda;0;0;0;0;0;0;0;0;-7;129;139;271;229;175;43;214;-344;-317;-292;-418;-427;-288;-375;-318
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;-2%;18%;11%;17%;10%;6%;2%;10%;-21%;-26%;-54%;-128%;-289%;-480%;-494%;-309%
&nbspPSR;0.84;0.54;0.37;0.37;0.22;0.95;0.70;2.54;5.21;4.85;0.59;2.58;1.67;0.75;0.69;0.40;0.18;0.04;0.09;0.38;0.61;2.61;1.50;1.78
&nbspROE;7%;7%;9%;-5%;2%;-1%;8%;8%;4%;12%;10%;10%;9%;4%;-9%;2%;-33%;-43%;-72%;-95%;247%;55%;1%;-7%
&nbspROA;3%;3%;4%;-2%;1%;-1%;3%;4%;3%;6%;5%;5%;4%;1%;-2%;1%;-9%;-10%;-11%;-9%;-24%;-15%;0%;3%
&nbspROIC;1%;2%;1%;-3%;-1%;-2%;4%;5%;0%;6%;5%;6%;5%;2%;0%;3%;-6%;-7%;-7%;-12%;-19%;-16%;-25%;-22%
&nbspEV/EBIT;39.62;33.47;83.58;-21.40;-39.12;-19.73;8.82;7.87;-45.25;5.24;8.28;5.72;8.88;19.70;479.25;14.26;-6.49;-5.75;-6.96;-4.36;-3.94;-5.35;-2.69;-3.01
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-44.44;5.19;7.70;5.16;8.12;16.43;78.84;12.97;-6.65;-6.02;-7.43;-4.54;-4.04;-5.50;-2.72;-3.13
&nbspDiv. Yield;0,00%;4,76%;3,51%;7,69%;0,00%;2,27%;0,00%;0,75%;0,22%;0,29%;5,29%;0,98%;1,35%;3,88%;6,81%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;9%;7%;24%;12%;27%;105%;-39%;28%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.00;0.00;0.30;0.55;-0.45;1.29;0.35;1.10;1.16;0.91;1.10;1.31;1.43;1.57;1.85;1.63;5.02;1.11;1.06;1.49;0.71;0.79;1.03;1.18
&nbspValorização;-74%;66%;-5%;-38%;-30%;63%;36%;416%;30%;66%;-82%;301%;-4%;-45%;-45%;-57%;77%;-81%;-16%;148%;-27%;70%;-32%;67%
&nbspNegócios/dia;5;3;3;5;3;6;4;41;273;359;1296;2904;4038;6716;9681;10554;6752;1510;461;699;276;248;440;561
&nbspVolume diário;0;0;0;0;0;0;0;1;12;20;19;27;34;37;34;22;10;3;1;3;1;1;1;2
