Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.01;0.02;0.02;0.02;0.01;0.57;1.86;1.47;2.14;3.26;3.76;3.75;3.53
&nbspP/L;2647.74;1166.81;836.09;937.20;1716.50;23.59;8.64;20.09;14.93;13.11;13.18;11.96;11.62
&nbspVPA;0.32;0.33;0.33;0.33;0.31;15.20;14.57;15.38;15.89;17.46;18.59;21.12;20.82
&nbspP/VP;73.90;69.35;45.49;45.32;44.40;0.89;1.10;1.92;2.01;2.45;2.66;2.12;1.97
&nbspROE;3%;6%;5%;5%;3%;4%;13%;10%;13%;19%;20%;18%;17%
&nbspDiv. Yield;1,05%;4,17%;5,61%;3,87%;4,51%;3,05%;10,29%;0,44%;4,61%;2,55%;4,22%;6,27%;3,90%
&nbspDiv. Payout;76%;68%;110%;78%;126%;102%;57%;58%;68%;50%;49%;72%;33%
&nbspBeta;0.40;0.95;1.00;0.99;0.61;0.42;1.20;1.04;1.24;1.26;1.12;1.07;1.22
&nbspValorização;7%;-1%;-30%;1%;-2%;5%;34%;103%;14%;35%;13%;-6%;-5%
&nbspNegócios/dia;4758;3028;4821;6362;7808;7939;3788;6493;7516;8613;8036;13509;12367
&nbspVolume diário;126;42;45;43;47;44;15;27;50;64;74;103;123
