Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;6.82;8.87;10.74;3.30;3.27
&nbspP/L;8.78;6.93;9.44;7.87;6.23
&nbspVPA;51.14;56.75;61.27;22.97;23.79
&nbspP/VP;1.17;1.08;1.66;1.13;0.86
&nbspP/EBIT;5.31;4.52;6.25;5.00;3.94
&nbspP/EBITDA;4.36;3.77;5.18;4.05;3.17
&nbspP/Ativos;0.60;0.57;0.86;0.60;0.44
&nbspEbitda;1384;1642;1972;1940;1942
&nbspMarg. Ebitda;36%;39%;42%;40%;41%
&nbspPSR;1.56;1.49;2.16;1.64;1.29
&nbspROE;13%;16%;18%;14%;14%
&nbspROA;7%;8%;9%;8%;7%
&nbspROIC;12%;13%;14%;13%;13%
&nbspEV/EBIT;7.53;6.43;5.61;5.82;5.78
&nbspEV/EBITDA;6.18;5.37;4.65;4.71;4.66
&nbspDiv. Yield;0,00%;5,45%;4,24%;3,81%;4,86%
&nbspDiv. Payout;41%;33%;36%;30%;31%
&nbspBeta;0.76;0.57;0.73;0.83;0.64
&nbspValorização;-1%;8%;73%;-21%;-19%
&nbspNegócios/dia;1912;1819;3357;8135;7540
&nbspVolume diário;33;24;50;64;52
