Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.35;0.34;0.33;0.69;0.82;0.85;0.89;0.92;1.25;1.36;1.77;2.15;0.66;0.65
&nbspP/L;4.49;7.83;8.83;6.70;11.09;8.00;6.54;3.63;8.62;8.58;6.03;9.81;7.72;6.33
&nbspVPA;4.68;4.91;5.26;5.58;5.86;7.48;7.97;8.77;9.54;10.23;11.35;12.25;4.59;4.76
&nbspP/VP;0.33;0.54;0.55;0.83;1.54;0.91;0.73;0.38;1.13;1.14;0.94;1.72;1.11;0.87
&nbspP/EBIT;1.99;3.52;3.86;3.87;6.54;5.03;4.18;2.28;5.68;5.19;3.93;6.49;4.91;4.00
&nbspP/EBITDA;1.39;2.38;2.65;2.98;5.20;4.03;3.31;1.79;4.62;4.26;3.28;5.39;3.97;3.22
&nbspP/Ativos;0.14;0.22;0.23;0.34;0.61;0.48;0.37;0.19;0.57;0.58;0.50;0.89;0.58;0.45
&nbspEbitda;460;458;456;643;721;803;836;894;1171;1384;1642;1972;1940;1942
&nbspMarg. Ebitda;35%;33%;31%;37%;34%;34%;32%;30%;34%;36%;39%;42%;40%;41%
&nbspPSR;0.49;0.78;0.82;1.10;1.77;1.36;1.06;0.54;1.56;1.52;1.30;2.25;1.61;1.31
&nbspROE;7%;7%;6%;12%;14%;11%;11%;11%;13%;13%;16%;18%;14%;14%
&nbspROA;3%;3%;3%;5%;5%;6%;6%;5%;7%;7%;8%;9%;8%;7%
&nbspROIC;7%;6%;6%;9%;10%;10%;9%;9%;11%;12%;13%;14%;13%;13%
&nbspEV/EBIT;22.46;23.37;23.28;14.50;12.41;11.96;12.36;12.20;8.85;7.53;6.43;5.61;5.82;5.78
&nbspEV/EBITDA;15.71;15.75;15.97;11.16;9.87;9.58;9.78;9.55;7.21;6.18;5.37;4.65;4.71;4.66
&nbspDiv. Yield;6,45%;3,80%;3,08%;3,24%;3,43%;5,90%;8,62%;15,52%;2,98%;5,73%;6,36%;4,03%;3,92%;4,83%
&nbspDiv. Payout;34%;27%;26%;12%;33%;51%;30%;43%;31%;41%;33%;36%;30%;31%
&nbspBeta;0.31;0.28;0.39;0.14;0.20;0.34;0.60;0.27;0.62;0.71;0.53;0.69;0.82;0.58
&nbspValorização;-42%;70%;18%;63%;105%;-23%;-10%;-38%;261%;15%;-2%;100%;-24%;-17%
&nbspNegócios/dia;16;16;11;29;31;50;49;143;765;6371;1315;2369;5432;6077
&nbspVolume diário;0;0;0;0;1;0;0;0;5;38;4;9;17;22
