Unnamed: 0;2019;2020;2021
&nbspLPA;1.48;-0.46;-0.65
&nbspP/L;23.69;-64.19;-57.87
&nbspVPA;5.56;8.06;8.13
&nbspP/VP;6.33;3.69;4.62
&nbspP/EBIT;15.73;-99.85;-86.53
&nbspP/EBITDA;0.00;43.01;43.36
&nbspP/Ativos;1.88;1.16;1.46
&nbspEbitda;0;167;210
&nbspMarg. Ebitda;0%;7%;8%
&nbspPSR;2.90;2.99;3.35
&nbspROE;27%;-6%;-8%
&nbspROA;8%;-2%;-3%
&nbspROIC;15%;-1%;-2%
&nbspEV/EBIT;18.48;-139.51;-99.45
&nbspEV/EBITDA;0.00;60.10;49.83
&nbspDiv. Yield;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%
&nbspBeta;0.74;1.27;0.00
&nbspValorização;186%;-21%;32%
&nbspNegócios/dia;2677;8693;5802
&nbspVolume diário;20;66;39
