Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;19.53;-8.23;18.33;7.58;-21.56;30.55;19.35;31.67;28.65;4.61;0.29;6.04;7.16;5.37;8.40;2.81;1.33;0.79;4.31;3.69;4.15;4.93;1.43;3.12
&nbspP/L;4.69;-25.78;9.49;17.40;-4.27;5.34;8.14;4.96;10.23;8.92;97.30;5.70;5.95;9.68;10.34;9.40;12.83;24.05;6.68;9.31;7.59;12.29;31.15;11.85
&nbspVPA;302.40;290.85;290.32;280.77;254.43;266.02;279.19;297.83;316.65;42.94;41.90;46.20;42.49;46.28;51.42;18.92;19.46;20.07;22.56;25.62;28.60;31.65;33.35;34.07
&nbspP/VP;0.30;0.73;0.60;0.47;0.36;0.61;0.56;0.53;0.93;0.96;0.66;0.74;1.00;1.12;1.69;1.40;0.87;0.94;1.28;1.34;1.10;1.91;1.33;1.08
&nbspP/EBIT;2.05;4.59;3.73;3.05;1.96;3.19;3.46;2.69;4.76;4.59;5.41;3.66;3.63;5.03;6.96;5.76;6.08;4.25;5.74;5.92;4.16;7.25;6.76;5.49
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.98;3.48;3.52;3.54;2.90;3.01;3.80;5.53;4.51;3.99;3.14;4.30;4.46;3.28;5.53;4.65;3.77
&nbspP/Ativos;0.17;0.40;0.33;0.24;0.16;0.28;0.27;0.26;0.46;0.50;0.31;0.36;0.42;0.47;0.75;0.64;0.38;0.38;0.54;0.59;0.49;0.89;0.60;0.50
&nbspEbitda;0;0;0;0;0;0;0;2260;2395;2664;1787;2702;3224;3123;3582;4010;2915;4118;4576;5264;6569;7492;6529;6690
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;46%;43%;45%;28%;40%;35%;31%;33%;35%;26%;35%;32%;36%;41%;42%;37%;36%
&nbspPSR;0.82;1.86;1.48;1.09;0.70;1.13;1.02;0.90;1.51;1.57;1.00;1.16;1.05;1.19;1.84;1.60;1.04;1.10;1.40;1.61;1.34;2.30;1.71;1.37
&nbspROE;6%;-3%;6%;3%;-8%;11%;7%;11%;9%;11%;1%;13%;17%;12%;16%;15%;7%;4%;19%;14%;15%;16%;4%;9%
&nbspROA;4%;-2%;3%;1%;-4%;5%;3%;5%;5%;6%;0%;6%;7%;5%;7%;7%;3%;2%;8%;6%;7%;7%;2%;4%
&nbspROIC;9%;9%;9%;8%;8%;9%;8%;10%;10%;11%;6%;10%;13%;10%;12%;12%;7%;10%;10%;11%;13%;13%;10%;10%
&nbspEV/EBIT;24.77;24.15;24.00;26.27;25.26;22.74;25.44;19.56;18.37;15.47;28.00;15.15;12.02;13.66;11.55;10.69;18.29;12.28;10.49;9.01;6.96;6.46;8.76;8.59
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.41;13.45;11.86;18.33;12.01;9.96;10.30;9.17;8.37;11.99;9.08;7.86;6.79;5.48;4.92;6.03;5.90
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;22,83%;6,74%;7,04%;8,42%;3,25%;2,87%;3,67%;5,82%;5,05%;0,00%;2,92%;8,88%;4,64%;1,95%;0,76%;3,50%;3,27%;1,92%;0,00%;1,08%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;9%;21%;13%;1.089%;43%;24%;34%;30%;26%;52%;38%;5%;30%;23%;22%;91%;42%
&nbspBeta;0.00;0.00;0.76;0.91;0.83;0.85;0.94;0.87;0.78;0.75;0.91;0.76;0.72;0.65;0.48;0.75;0.80;0.95;0.79;0.79;0.90;1.09;1.01;0.80
&nbspValorização;-68%;123%;-17%;-23%;-17%;91%;3%;15%;96%;14%;-31%;27%;32%;18%;79%;-6%;-32%;15%;60%;26%;-6%;81%;-27%;-12%
&nbspNegócios/dia;63;72;109;110;201;282;311;315;394;588;843;1083;1050;1177;1977;5533;6207;5204;7382;7162;6969;12763;17849;14685
&nbspVolume diário;2;2;3;3;4;6;7;8;11;15;13;10;11;12;31;45;30;23;52;51;50;141;194;152
