Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.61;2.32;1.61;1.68;3.85;4.35;2.13;2.86;1.35;2.13;0.33;1.52;1.58;1.71
&nbspP/L;16.91;6.70;14.43;14.40;11.70;8.51;15.34;8.05;18.73;20.18;98.70;30.87;28.13;25.08
&nbspVPA;9.06;10.43;11.57;12.73;15.52;18.72;19.85;21.84;22.97;24.35;24.30;25.62;26.95;27.16
&nbspP/VP;1.13;1.49;2.01;1.90;2.90;1.98;1.65;1.05;1.10;1.77;1.34;1.84;1.64;1.58
&nbspP/EBIT;5.75;4.63;8.14;7.89;7.18;5.24;8.24;3.89;4.89;8.27;12.34;12.87;11.63;10.99
&nbspP/EBITDA;4.72;4.15;7.22;6.92;6.68;4.93;7.45;3.49;4.27;7.28;9.78;10.67;9.57;9.09
&nbspP/Ativos;0.51;0.73;0.84;0.80;1.25;0.94;0.78;0.43;0.48;0.83;0.69;0.92;0.83;0.83
&nbspEbitda;125;216;186;202;389;433;254;381;342;341;192;255;267;273
&nbspMarg. Ebitda;79%;39%;77%;59%;70%;67%;83%;80%;76%;62%;52%;68%;79%;78%
&nbspPSR;3.72;1.63;5.52;4.06;4.69;3.32;6.19;2.78;3.25;4.50;5.08;7.30;7.55;7.11
&nbspROE;7%;22%;14%;13%;25%;23%;11%;13%;6%;9%;1%;6%;6%;6%
&nbspROA;3%;11%;6%;6%;11%;11%;5%;5%;3%;4%;1%;3%;3%;3%
&nbspROIC;10%;24%;13%;12%;21%;23%;11%;12%;11%;11%;6%;8%;8%;8%
&nbspEV/EBIT;28.67;13.45;18.08;17.41;8.74;7.54;14.49;11.47;12.92;12.05;22.59;17.04;15.75;15.47
&nbspEV/EBITDA;23.55;12.06;16.04;15.25;8.13;7.10;13.09;10.27;11.29;10.59;17.90;14.11;12.96;12.80
&nbspDiv. Yield;2,63%;5,34%;3,23%;0,00%;2,27%;2,76%;2,60%;3,30%;0,79%;2,65%;0,00%;0,79%;0,14%;0,86%
&nbspDiv. Payout;46%;36%;46%;0%;26%;23%;38%;25%;14%;33%;126%;0%;3%;3%
&nbspBeta;0.74;0.24;0.32;0.26;0.22;0.40;0.28;0.31;0.48;0.56;0.15;0.39;0.83;0.30
&nbspValorização;-35%;57%;47%;8%;91%;-16%;-10%;-28%;16%;74%;-24%;38%;-6%;0%
&nbspNegócios/dia;27;11;9;10;38;89;79;37;84;65;36;39;66;54
&nbspVolume diário;1;1;1;0;1;2;1;1;1;1;0;1;1;0
