Unnamed: 0;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.93;1.71;1.30;1.84;1.43;1.53;1.06;1.30;1.39
&nbspP/L;25.15;17.31;5.91;10.12;21.94;10.18;26.07;12.04;13.25
&nbspVPA;3.60;5.00;6.05;7.59;10.86;11.06;10.16;11.08;11.31
&nbspP/VP;6.52;5.92;1.27;2.46;2.88;1.41;2.73;1.41;1.63
&nbspP/EBIT;21.48;16.11;4.40;7.87;16.97;8.72;13.74;6.40;7.58
&nbspP/EBITDA;18.74;14.59;3.52;6.54;13.53;6.63;9.13;4.11;4.86
&nbspP/Ativos;3.66;2.97;0.52;1.16;1.73;0.85;1.40;0.65;0.75
&nbspEbitda;157;254;274;357;321;312;391;489;488
&nbspMarg. Ebitda;34%;36%;27%;32%;26%;25%;31%;39%;39%
&nbspPSR;6.45;5.26;0.95;2.08;3.53;1.64;2.80;1.61;1.90
&nbspROE;26%;34%;22%;24%;13%;14%;10%;12%;12%
&nbspROA;15%;17%;9%;11%;8%;8%;5%;5%;6%
&nbspROIC;28%;21%;14%;19%;16%;16%;12%;13%;12%
&nbspEV/EBIT;15.70;10.07;11.16;7.72;6.83;7.31;8.54;7.18;7.51
&nbspEV/EBITDA;13.70;9.12;8.91;6.42;5.44;5.55;5.68;4.61;4.82
&nbspDiv. Yield;0,00%;1,01%;0,39%;1,02%;0,86%;2,70%;8,90%;0,00%;0,65%
&nbspDiv. Payout;29%;14%;7%;10%;17%;29%;233%;16%;22%
&nbspBeta;0.25;0.55;0.88;0.90;0.91;0.75;0.77;0.95;1.07
&nbspValorização;37%;30%;-72%;152%;72%;-49%;92%;-45%;21%
&nbspNegócios/dia;1137;1216;2145;1673;2354;3164;3701;5095;4269
&nbspVolume diário;12;8;7;5;16;14;16;19;13
