Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.29;-0.12;-2.82;-0.71;-0.26;-0.15;0.50;-0.12;0.42;2.24;0.92;-6.36;-2.88
&nbspP/L;16.64;-45.63;-1.12;-4.10;-6.85;-4.27;5.78;-35.42;25.74;3.08;13.36;-1.22;-3.92
&nbspVPA;11.90;11.47;8.40;6.08;5.76;5.42;21.56;20.54;22.98;26.50;27.72;22.10;21.78
&nbspP/VP;0.40;0.47;0.38;0.48;0.31;0.12;0.13;0.21;0.47;0.26;0.44;0.35;0.52
&nbspP/EBIT;-10.83;28.73;7.23;5.11;5.56;1.24;0.93;1.26;2.99;1.32;7.88;7.79;4.31
&nbspP/EBITDA;11.83;5.70;2.80;2.80;2.30;0.67;0.62;0.86;2.12;1.01;3.56;2.72;2.27
&nbspP/Ativos;0.25;0.29;0.17;0.24;0.15;0.05;0.06;0.08;0.20;0.11;0.19;0.12;0.18
&nbspEbitda;58;136;163;208;155;190;233;247;255;341;172;143;249
&nbspMarg. Ebitda;2%;6%;12%;12%;8%;9%;10%;11%;12%;25%;12%;9%;15%
&nbspPSR;0.28;0.34;0.32;0.35;0.17;0.06;0.06;0.09;0.25;0.25;0.43;0.25;0.34
&nbspROE;2%;-1%;-34%;-12%;-5%;-3%;2%;-1%;2%;8%;3%;-29%;-13%
&nbspROA;2%;-1%;-15%;-6%;-2%;-1%;1%;0%;1%;3%;1%;-10%;-5%
&nbspROIC;-3%;1%;3%;5%;3%;5%;7%;7%;8%;9%;3%;2%;5%
&nbspEV/EBIT;-13.63;34.11;20.27;10.00;18.77;12.28;8.66;8.62;7.85;5.60;17.60;26.38;10.02
&nbspEV/EBITDA;14.90;6.76;7.85;5.49;7.74;6.67;5.76;5.90;5.58;4.31;7.96;9.21;5.28
&nbspDiv. Yield;0,00%;1,48%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;2%;-76%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.29;0.55;0.34;0.33;0.05;0.25;0.44;0.62;0.87;0.66;0.88;0.94;0.94
&nbspValorização;27%;15%;-41%;-9%;-40%;-64%;25%;56%;153%;-37%;52%;-38%;48%
&nbspNegócios/dia;81;96;21;11;21;40;96;99;285;125;257;507;433
&nbspVolume diário;1;1;0;0;0;0;0;0;1;0;1;1;1
