Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.89;-0.06;-0.17;-1.04;0.31;0.41;0.67;0.18;-1.07;-1.62;-1.54
&nbspP/L;12.80;-136.79;-31.41;-2.76;9.96;13.50;11.03;41.51;-5.86;-2.46;-3.84
&nbspVPA;4.88;5.07;4.76;3.77;4.03;4.25;4.83;4.95;4.09;2.80;2.76
&nbspP/VP;2.35;1.55;1.14;0.76;0.77;1.32;1.52;1.49;1.53;1.42;2.15
&nbspP/EBIT;7.70;-136.79;-94.22;-3.16;6.98;7.00;7.30;15.10;-8.79;-3.35;-5.13
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;7.33;0.00;0.00;-4.31;-6.78
&nbspP/Ativos;1.18;0.88;0.56;0.41;0.25;0.70;0.71;0.73;0.68;0.51;0.78
&nbspEbitda;0;0;0;0;0;0;68;0;0;-62;-59
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;10%;0%;0%;-159%;-590%
&nbspPSR;1.30;0.79;0.68;0.35;0.38;0.48;0.76;0.83;1.07;6.86;39.98
&nbspROE;18%;-1%;-4%;-28%;8%;10%;14%;4%;-26%;-58%;-56%
&nbspROA;9%;-1%;-2%;-15%;3%;5%;6%;2%;-12%;-21%;-20%
&nbspROIC;29%;-1%;-1%;-19%;6%;16%;16%;8%;-13%;-26%;-28%
&nbspEV/EBIT;3.01;-99.84;-89.09;-6.44;8.68;6.52;4.02;11.10;-8.32;-4.94;-4.43
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;4.04;0.00;0.00;-6.36;-5.85
&nbspDiv. Yield;0,00%;2,68%;0,00%;0,00%;0,00%;0,54%;1,22%;4,20%;0,96%;0,00%;0,00%
&nbspDiv. Payout;45%;-325%;0%;0%;0%;4%;13%;175%;-4%;0%;0%
&nbspBeta;0.49;0.00;0.25;0.65;0.14;0.22;0.74;0.42;0.41;0.95;0.98
&nbspValorização;-28%;-31%;-32%;-47%;5%;90%;27%;4%;-13%;-36%;56%
&nbspNegócios/dia;79;185;313;315;99;92;352;607;416;1158;1799
&nbspVolume diário;2;4;1;1;0;0;1;2;1;2;5
