Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.55;0.77;0.80;0.75;0.99;0.88;0.78;0.50;0.66;0.81;1.10;1.60;0.87
&nbspP/L;47.22;11.79;12.51;10.69;10.48;5.97;4.95;8.44;10.47;8.67;9.24;8.43;11.84
&nbspVPA;3.27;3.82;4.42;4.94;5.61;6.24;6.85;7.15;7.63;6.04;6.94;8.31;4.32
&nbspP/VP;7.91;2.37;2.26;1.63;1.84;0.84;0.57;0.59;0.90;1.16;1.46;1.63;2.38
&nbspP/EBIT;47.22;6.96;7.09;5.97;5.28;3.80;3.26;6.92;7.45;7.02;9.33;8.32;10.99
&nbspP/EBITDA;27.09;5.44;5.53;4.52;4.19;2.75;2.22;3.66;4.82;5.12;6.57;6.46;8.37
&nbspP/Ativos;2.56;0.83;0.77;0.60;0.69;0.33;0.25;0.29;0.41;0.48;0.65;0.68;0.96
&nbspEbitda;61;106;115;114;158;122;112;74;91;122;138;187;219
&nbspMarg. Ebitda;17%;18%;16%;18%;19%;17%;17%;13%;13%;13%;13%;18%;18%
&nbspPSR;4.48;0.97;0.91;0.79;0.81;0.46;0.38;0.47;0.64;0.66;0.85;1.15;1.55
&nbspROE;17%;20%;18%;15%;18%;14%;11%;7%;9%;13%;16%;19%;20%
&nbspROA;5%;7%;6%;6%;7%;6%;5%;3%;4%;6%;7%;8%;8%
&nbspROIC;7%;14%;13%;12%;16%;12%;10%;6%;8%;10%;9%;12%;13%
&nbspEV/EBIT;33.06;14.05;13.86;14.21;9.69;13.10;14.53;26.46;17.81;12.98;11.94;8.16;7.44
&nbspEV/EBITDA;18.96;10.99;10.80;10.76;7.68;9.47;9.89;13.98;11.51;9.46;8.41;6.34;5.66
&nbspDiv. Yield;0,54%;7,51%;1,90%;2,61%;1,16%;6,68%;6,70%;3,07%;2,32%;4,43%;0,00%;0,00%;0,88%
&nbspDiv. Payout;3%;16%;29%;25%;29%;36%;28%;22%;19%;24%;21%;8%;15%
&nbspBeta;0.06;0.08;0.06;0.16;0.17;0.24;0.34;0.66;0.57;0.66;0.49;0.75;0.42
&nbspValorização;54%;72%;13%;-8%;38%;-45%;-17%;14%;66%;46%;42%;31%;55%
&nbspNegócios/dia;12;8;12;14;21;15;34;118;217;123;329;929;1319
&nbspVolume diário;0;0;0;0;0;0;0;0;1;0;1;3;5
