Unnamed: 0;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.48;0.30;0.37;0.44;0.35;0.23;-0.84;0.09;0.93;1.55;1.94;3.19
&nbspP/L;23.34;31.56;38.05;36.01;36.10;30.95;-10.64;92.81;7.52;17.30;18.25;17.17
&nbspVPA;4.09;4.23;4.42;4.73;4.92;4.94;2.80;5.87;6.08;11.50;15.66;19.20
&nbspP/VP;2.73;2.21;3.17;3.37;2.59;1.46;3.20;1.41;1.15;2.33;2.27;2.85
&nbspP/EBIT;9.16;8.06;9.89;9.61;5.87;2.54;3.90;2.37;1.49;4.61;7.08;7.48
&nbspP/EBITDA;6.72;4.32;5.06;4.85;3.12;1.36;1.86;1.36;0.89;2.62;3.41;4.41
&nbspP/Ativos;0.76;0.48;0.66;0.59;0.36;0.17;0.22;0.15;0.09;0.27;0.29;0.35
&nbspEbitda;330;431;594;705;869;1092;1046;1230;1598;2116;2142;2560
&nbspMarg. Ebitda;16%;18%;15%;15%;16%;18%;16%;17%;20%;22%;22%;25%
&nbspPSR;1.09;0.77;0.75;0.72;0.49;0.25;0.29;0.23;0.18;0.57;0.74;1.12
&nbspROE;12%;7%;8%;9%;7%;5%;-30%;2%;15%;13%;12%;17%
&nbspROA;3%;2%;2%;2%;1%;1%;-2%;0%;1%;2%;2%;2%
&nbspROIC;10%;7%;8%;8%;8%;9%;7%;9%;10%;9%;7%;8%
&nbspEV/EBIT;50.82;56.89;44.25;39.22;32.23;27.19;33.04;24.19;19.12;16.60;19.89;15.95
&nbspEV/EBITDA;37.25;30.49;22.64;19.80;17.10;14.54;15.76;13.86;11.50;9.42;9.57;9.39
&nbspDiv. Yield;0,00%;1,93%;0,64%;0,75%;0,78%;0,69%;10,80%;0,00%;2,15%;0,00%;0,54%;0,22%
&nbspDiv. Payout;111%;37%;16%;21%;29%;35%;-114%;0%;0%;16%;12%;5%
&nbspBeta;0.24;0.51;0.45;0.28;0.48;0.57;0.59;0.80;0.66;0.99;1.32;1.00
&nbspValorização;39%;-17%;51%;15%;-20%;-41%;58%;-9%;-11%;268%;21%;63%
&nbspNegócios/dia;82;162;332;550;450;189;216;245;415;1319;4401;3805
&nbspVolume diário;2;1;3;4;2;1;1;1;1;6;26;30
