Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.35;0.47;0.11;0.60;1.66;0.41;1.01;0.74;1.27;0.15;3.75;4.28;1.66;2.69;3.85
&nbspP/L;47.64;29.74;144.62;36.51;9.33;48.80;20.29;19.04;12.98;95.40;7.11;9.78;14.96;10.20;12.81
&nbspVPA;5.84;7.33;8.33;19.14;19.69;20.27;21.70;24.61;24.65;26.57;27.31;29.32;15.66;16.53;17.75
&nbspP/VP;2.82;1.91;1.96;1.15;0.79;0.98;0.94;0.57;0.67;0.54;0.98;1.43;1.58;1.66;2.77
&nbspP/EBIT;105.48;11.03;99.42;17.10;5.86;13.37;13.30;7.18;5.58;13.01;4.44;6.06;8.46;6.69;8.31
&nbspP/EBITDA;49.13;8.18;19.92;10.46;4.64;7.72;7.82;4.72;4.07;235.64;3.85;5.19;7.11;5.81;7.48
&nbspP/Ativos;1.74;0.89;1.00;0.69;0.42;0.53;0.47;0.30;0.30;0.26;0.50;0.69;0.68;0.61;1.03
&nbspEbitda;30;167;80;206;326;253;257;291;392;6;685;769;665;901;1255
&nbspMarg. Ebitda;11%;40%;13%;23%;32%;23%;22%;19%;22%;0%;31%;27%;22%;23%;28%
&nbspPSR;5.51;3.31;2.67;2.43;1.50;1.75;1.70;0.91;0.91;0.86;1.19;1.41;1.55;1.35;2.08
&nbspROE;6%;6%;1%;3%;8%;2%;5%;3%;5%;1%;14%;15%;11%;16%;22%
&nbspROA;4%;3%;1%;2%;5%;1%;2%;2%;2%;0%;7%;7%;5%;6%;8%
&nbspROIC;2%;8%;1%;4%;8%;4%;4%;5%;7%;3%;14%;15%;11%;13%;17%
&nbspEV/EBIT;663.01;76.52;597.32;74.89;37.24;66.78;65.40;52.65;35.92;90.31;16.73;15.29;18.02;12.67;9.16
&nbspEV/EBITDA;308.84;56.74;119.70;45.84;29.48;38.55;38.44;34.59;26.19;1635.78;14.51;13.08;15.16;11.00;8.25
&nbspDiv. Yield;0,00%;0,57%;0,67%;0,32%;1,03%;3,17%;0,74%;2,77%;1,70%;4,15%;8,32%;5,09%;3,83%;3,57%;3,35%
&nbspDiv. Payout;23%;22%;91%;12%;9%;152%;15%;53%;22%;387%;58%;52%;57%;35%;24%
&nbspBeta;0.33;1.01;0.67;0.59;0.80;0.27;0.24;0.19;0.29;0.21;0.56;0.31;0.58;0.46;0.26
&nbspValorização;16%;-14%;18%;35%;-28%;30%;6%;-30%;23%;-7%;100%;59%;14%;10%;76%
&nbspNegócios/dia;119;151;340;325;362;675;802;689;782;1033;1339;2894;4180;5378;6478
&nbspVolume diário;4;5;3;3;3;4;4;3;3;5;6;26;24;30;60
