Unnamed: 0;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.01;4.44;3.69;5.21;5.06;1.58;1.51
&nbspP/L;11.58;10.07;20.57;8.40;7.76;14.85;14.79
&nbspVPA;3.96;5.14;7.03;8.18;9.71;10.87;7.23
&nbspP/VP;8.79;8.71;10.79;5.35;4.05;2.16;3.10
&nbspP/EBIT;10.45;9.19;31.13;7.32;6.36;13.86;14.56
&nbspP/EBITDA;10.38;9.07;30.45;7.15;6.15;12.19;12.64
&nbspP/Ativos;2.57;2.87;4.33;2.06;1.69;0.87;0.81
&nbspEbitda;413;610;309;759;793;239;220
&nbspMarg. Ebitda;34%;39%;34%;77%;75%;42%;40%
&nbspPSR;3.51;3.57;10.23;5.50;4.64;5.09;5.04
&nbspROE;76%;86%;52%;64%;52%;15%;21%
&nbspROA;22%;29%;21%;25%;22%;6%;6%
&nbspROIC;42%;48%;22%;41%;48%;8%;7%
&nbspEV/EBIT;5.32;3.68;7.00;2.84;2.10;9.74;11.16
&nbspEV/EBITDA;5.29;3.64;6.85;2.77;2.03;8.57;9.69
&nbspDiv. Yield;6,26%;6,48%;5,84%;8,89%;9,42%;5,42%;23,66%
&nbspDiv. Payout;78%;64%;5%;72%;70%;68%;80%
&nbspBeta;0.60;0.96;1.19;1.02;0.58;1.20;0.85
&nbspValorização;-25%;37%;84%;-41%;-3%;-37%;15%
&nbspNegócios/dia;4091;4381;4219;4934;4524;6590;4576
&nbspVolume diário;41;30;48;55;42;33;32
