Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.95;1.28;1.13;0.65;1.20;2.56;1.72;0.78;1.35;0.87;1.81;2.43;2.43
&nbspP/L;17.95;20.65;14.79;42.76;23.85;14.17;26.61;24.91;14.25;20.95;13.14;11.24;14.46
&nbspVPA;16.89;17.28;17.91;18.58;18.36;23.08;23.37;9.35;9.04;9.32;9.45;11.40;11.40
&nbspP/VP;1.01;1.53;0.94;1.51;1.56;1.57;1.96;2.09;2.14;1.95;2.51;2.40;3.09
&nbspP/EBIT;14.78;12.64;8.27;15.90;13.29;9.01;11.09;10.61;8.78;9.47;7.09;6.40;8.24
&nbspP/EBITDA;6.77;7.89;4.57;7.75;8.76;6.30;7.50;7.89;6.08;5.87;4.67;4.42;5.69
&nbspP/Ativos;0.46;0.74;0.40;0.56;0.64;0.57;0.70;0.82;0.77;0.68;0.69;0.79;1.02
&nbspEbitda;284;379;414;408;370;653;692;900;1156;1128;1799;2192;2192
&nbspMarg. Ebitda;24%;29%;30%;25%;24%;34%;30%;34%;34%;34%;49%;51%;51%
&nbspPSR;1.62;2.31;1.39;1.94;2.12;2.14;2.22;2.72;2.05;1.97;2.27;2.25;2.90
&nbspROE;6%;7%;6%;4%;7%;11%;7%;8%;15%;9%;19%;21%;21%
&nbspROA;3%;4%;3%;1%;3%;4%;3%;3%;5%;3%;5%;7%;7%
&nbspROIC;3%;6%;5%;4%;6%;8%;7%;9%;11%;9%;12%;14%;14%
&nbspEV/EBIT;104.11;55.68;59.09;70.63;56.34;32.74;32.57;22.81;18.96;21.64;14.58;11.35;11.32
&nbspEV/EBITDA;47.71;34.78;32.70;34.42;37.15;22.88;22.03;16.96;13.13;13.41;9.60;7.83;7.82
&nbspDiv. Yield;0,94%;1,17%;1,61%;1,14%;0,94%;0,99%;1,31%;2,51%;1,45%;2,80%;2,78%;2,01%;1,56%
&nbspDiv. Payout;17%;23%;23%;49%;22%;15%;34%;19%;20%;57%;36%;22%;22%
&nbspBeta;0.80;0.75;0.39;0.39;0.37;0.55;0.56;0.20;0.43;0.25;0.45;0.74;0.75
&nbspValorização;88%;49%;-33%;70%;6%;33%;27%;33%;2%;-2%;32%;32%;29%
&nbspNegócios/dia;93;157;162;326;581;758;1240;1962;3223;3413;3203;7225;7340
&nbspVolume diário;1;2;1;2;4;6;8;15;13;17;15;33;44
