Unnamed: 0;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.02;0.85;0.76;0.68;0.34;-0.06;0.09;0.09
&nbspP/L;8.40;10.71;18.14;39.32;74.58;-432.11;276.31;284.90
&nbspVPA;5.01;5.60;5.94;6.36;7.21;6.11;6.17;5.67
&nbspP/VP;1.71;1.62;2.33;4.19;3.51;4.01;3.81;4.27
&nbspP/EBIT;11.20;17.86;20.41;28.60;33.15;-864.21;236.84;131.49
&nbspP/EBITDA;9.22;13.67;16.32;17.24;19.53;131.77;55.19;43.66
&nbspP/Ativos;1.17;1.09;1.05;2.00;1.79;2.79;2.60;2.60
&nbspEbitda;11;8;10;18;15;13;30;39
&nbspMarg. Ebitda;15%;10%;12%;14%;11%;7%;14%;17%
&nbspPSR;1.42;1.43;1.94;2.35;2.10;9.88;7.93;7.46
&nbspROE;20%;15%;13%;11%;5%;-1%;1%;2%
&nbspROA;14%;10%;6%;5%;2%;-1%;1%;1%
&nbspROIC;21%;12%;6%;9%;6%;-1%;2%;3%
&nbspEV/EBIT;173.85;261.95;199.83;145.15;177.07;-662.84;194.67;125.13
&nbspEV/EBITDA;143.08;200.47;159.80;87.51;104.31;101.07;45.36;41.55
&nbspDiv. Yield;1,75%;5,50%;1,52%;0,34%;0,75%;0,24%;0,00%;0,08%
&nbspDiv. Payout;8%;50%;22%;12%;50%;0%;0%;0%
&nbspBeta;0.24;0.24;0.28;0.39;0.42;0.37;0.94;0.64
&nbspValorização;-15%;12%;56%;92%;-4%;285%;-4%;4%
&nbspNegócios/dia;23;34;53;58;64;916;4070;3152
&nbspVolume diário;0;0;0;0;0;7;20;15
