Unnamed: 0;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.03;-0.01;0.01;0.03;-0.02;0.04
&nbspP/L;-84.14;-451.76;704.63;322.29;-323.43;244.19
&nbspVPA;2.09;2.00;2.01;2.02;2.43;2.47
&nbspP/VP;1.15;1.70;2.10;4.05;2.16;3.67
&nbspP/EBIT;-199.83;70.59;42.70;63.71;75.47;65.12
&nbspP/EBITDA;18.29;13.73;14.87;24.72;21.37;27.96
&nbspP/Ativos;0.84;0.82;0.99;1.71;1.07;1.81
&nbspEbitda;87;165;190;222;212;279
&nbspMarg. Ebitda;10%;20%;21%;23%;23%;27%
&nbspPSR;1.92;2.74;3.06;5.64;4.87;7.66
&nbspROE;-1%;0%;0%;1%;-1%;2%
&nbspROA;-1%;0%;0%;1%;0%;1%
&nbspROIC;0%;1%;3%;3%;2%;4%
&nbspEV/EBIT;-991.08;245.46;119.18;91.89;120.91;60.75
&nbspEV/EBITDA;90.73;47.73;41.50;35.66;34.24;26.09
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,38%;0,00%
&nbspDiv. Payout;-21%;0%;50%;12%;-79%;34%
&nbspBeta;0.14;0.70;0.86;0.62;1.10;0.93
&nbspValorização;-13%;45%;24%;92%;-36%;65%
&nbspNegócios/dia;444;1379;2079;4293;8256;10801
&nbspVolume diário;2;3;5;12;23;46
