Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;4.49;6.33;5.24;2.18;1.59;1.72;1.43;1.63;2.17;2.05;1.97;2.30;3.00;5.85;5.78
&nbspP/L;6.74;2.53;9.93;9.53;9.50;10.29;10.35;7.91;8.59;8.77;9.47;12.44;19.96;7.58;6.11
&nbspVPA;23.85;26.73;29.13;10.30;10.96;11.94;10.62;11.74;13.00;14.79;14.31;15.95;18.13;20.18;20.03
&nbspP/VP;1.27;0.60;1.79;2.02;1.38;1.48;1.39;1.10;1.43;1.22;1.30;1.79;3.30;2.20;1.76
&nbspP/EBIT;10.35;4.86;87.05;12.81;92.16;33.13;18.13;21.99;21.07;31.61;16.72;14.74;25.07;18.19;13.78
&nbspP/EBITDA;0.00;4.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.76;14.97;13.84;22.27;15.17;11.57
&nbspP/Ativos;0.31;0.15;0.39;0.48;0.32;0.35;0.30;0.24;0.32;0.28;0.31;0.44;0.83;0.64;0.51
&nbspEbitda;0;317;0;0;0;0;0;0;0;248;491;815;1060;1174;1227
&nbspMarg. Ebitda;0%;5%;0%;0%;0%;0%;0%;0%;0%;2%;3%;4%;5%;6%;7%
&nbspPSR;0.43;0.21;0.63;0.74;0.47;0.48;0.43;0.33;0.42;0.38;0.41;0.57;1.09;0.93;0.76
&nbspROE;19%;24%;18%;21%;14%;14%;13%;14%;17%;14%;14%;14%;17%;29%;29%
&nbspROA;5%;6%;4%;5%;3%;3%;3%;3%;4%;3%;3%;4%;4%;8%;8%
&nbspROIC;3%;3%;0%;8%;1%;2%;3%;2%;3%;2%;5%;8%;8%;9%;10%
&nbspEV/EBIT;56.92;50.45;278.75;20.43;186.44;53.53;26.30;31.85;17.10;18.34;6.34;1.56;0.11;0.13;-0.02
&nbspEV/EBITDA;0.00;49.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.37;5.68;1.47;0.10;0.10;-0.02
&nbspDiv. Yield;0,00%;4,12%;2,14%;10,29%;9,40%;3,67%;4,53%;3,10%;2,79%;2,94%;3,22%;1,99%;1,05%;4,17%;4,55%
&nbspDiv. Payout;0%;3%;23%;32%;74%;40%;34%;22%;21%;22%;21%;20%;18%;35%;38%
&nbspBeta;0.32;0.48;0.32;0.41;0.66;0.34;0.44;0.43;0.58;0.68;0.36;0.50;0.42;0.92;0.86
&nbspValorização;-1%;-45%;244%;26%;-21%;29%;4%;-8%;58%;2%;25%;55%;117%;-26%;-17%
&nbspNegócios/dia;330;72;223;457;1609;1997;2489;3233;3923;3639;3759;4881;7155;16039;16537
&nbspVolume diário;6;3;5;7;9;8;11;14;17;14;16;33;87;152;143
