Unnamed: 0;2017;2018;2019;2020;2021
&nbspLPA;0.66;0.77;1.00;1.95;1.93
&nbspP/L;9.44;10.25;17.82;6.84;5.75
&nbspVPA;4.77;5.32;6.04;6.73;6.68
&nbspP/VP;1.30;1.48;2.95;1.98;1.66
&nbspP/EBIT;16.66;12.13;22.38;16.42;12.97
&nbspP/EBITDA;14.92;11.40;19.88;13.69;10.89
&nbspP/Ativos;0.31;0.36;0.74;0.58;0.48
&nbspEbitda;491;815;1060;1174;1227
&nbspMarg. Ebitda;3%;4%;5%;6%;7%
&nbspPSR;0.41;0.47;0.97;0.84;0.72
&nbspROE;14%;14%;17%;29%;29%
&nbspROA;3%;4%;4%;8%;8%
&nbspROIC;5%;8%;8%;9%;10%
&nbspEV/EBIT;6.34;1.56;0.11;0.13;-0.02
&nbspEV/EBITDA;5.68;1.47;0.10;0.10;-0.02
&nbspDiv. Yield;3,23%;2,42%;1,18%;4,57%;4,78%
&nbspDiv. Payout;21%;20%;18%;35%;38%
&nbspBeta;1.20;0.48;0.25;0.92;0.80
&nbspValorização;-38%;27%;145%;-24%;-14%
&nbspNegócios/dia;4;3;6;60;258
&nbspVolume diário;0;0;0;0;0
