Unnamed: 0;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.13;1.76;1.42;1.72;-1.47;2.86;1.93;0.08;-0.17;-0.20;-0.24;-0.85;1.53;1.64;0.29;-2.07;-7.87;-0.04
&nbspP/L;6.44;6.69;14.88;16.85;-8.22;7.16;7.64;86.52;-42.04;-45.56;-46.84;-21.99;9.29;11.43;132.01;-19.20;-7.44;-1608.43
&nbspVPA;9.67;10.94;12.82;14.02;12.19;14.30;21.71;24.31;10.09;9.85;9.49;8.45;9.16;10.51;10.87;13.29;5.39;3.35
&nbspP/VP;1.42;1.08;1.65;2.07;0.99;1.43;0.68;0.28;0.70;0.94;1.19;2.21;1.55;1.78;3.50;2.99;10.86;17.97
&nbspP/EBIT;4.49;5.45;10.20;16.04;3.95;11.72;5.11;3.96;14.04;10.27;9.94;6.63;11.93;6.34;8.41;20.55;9.44;7.66
&nbspP/EBITDA;0.00;3.71;6.38;8.92;2.52;6.16;3.51;2.05;6.02;5.37;5.00;4.53;5.78;4.43;6.41;5.06;5.16;4.60
&nbspP/Ativos;0.65;0.46;0.65;0.79;0.29;0.49;0.31;0.12;0.30;0.37;0.43;0.72;0.54;0.72;0.78;0.55;0.78;0.78
&nbspEbitda;0;902;1040;1018;1469;1021;1677;1306;1272;1865;2446;4489;2721;4661;6569;10682;15444;17842
&nbspMarg. Ebitda;0%;32%;34%;30%;36%;26%;37%;27%;24%;33%;34%;44%;28%;44%;49%;41%;51%;55%
&nbspPSR;1.48;1.20;2.14;2.66;0.91;1.59;1.30;0.55;1.47;1.76;1.68;1.99;1.59;1.96;3.13;2.08;2.62;2.53
&nbspROE;22%;16%;11%;12%;-12%;20%;9%;0%;-2%;-2%;-3%;-10%;17%;16%;3%;-16%;-146%;-1%
&nbspROA;10%;7%;4%;5%;-3%;7%;4%;0%;-1%;-1%;-1%;-3%;6%;6%;1%;-3%;-11%;0%
&nbspROIC;15%;9%;7%;5%;7%;4%;8%;4%;3%;4%;5%;12%;5%;13%;18%;3%;9%;12%
&nbspEV/EBIT;96.86;138.48;133.51;153.90;95.00;164.12;73.69;128.42;161.20;92.89;74.43;30.53;69.64;27.92;18.32;51.64;17.21;13.80
&nbspEV/EBITDA;0.00;94.28;83.58;85.54;60.67;86.18;50.61;66.56;69.09;48.61;37.43;20.88;33.74;19.52;13.96;12.71;9.41;8.28
&nbspDiv. Yield;96,87%;5,18%;1,70%;1,93%;0,00%;3,76%;3,86%;4,15%;0,00%;1,08%;1,07%;1,34%;1,97%;0,96%;0,50%;1,11%;0,00%;0,00%
&nbspDiv. Payout;0%;20%;41%;27%;-14%;4%;32%;497%;-46%;-45%;-47%;-29%;18%;32%;66%;-22%;0%;0%
&nbspBeta;0.32;0.68;0.45;0.59;0.67;0.86;1.17;0.95;0.88;0.67;0.13;-0.16;-0.04;-0.07;-0.13;0.34;0.41;0.32
&nbspValorização;4%;-8%;87%;39%;-57%;68%;-8%;-52%;2%;27%;22%;73%;-21%;36%;104%;4%;44%;2%
&nbspNegócios/dia;180;109;163;281;560;1204;2089;2893;6581;8991;11306;14874;13258;11320;16735;19465;27248;30133
&nbspVolume diário;6;3;6;18;12;12;19;13;25;37;44;90;70;61;195;249;361;538
