Unnamed: 0;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.72;2.59;2.63;2.64;2.51;1.88;3.11;2.91;6.57;7.13
&nbspP/L;12.71;7.02;7.17;6.34;8.28;11.33;7.59;10.71;5.07;5.23
&nbspVPA;11.89;12.50;12.26;12.71;12.50;12.62;13.27;14.30;17.49;19.15
&nbspP/VP;1.83;1.46;1.54;1.32;1.66;1.69;1.78;2.18;1.91;1.95
&nbspP/EBIT;6.90;4.75;4.28;3.75;5.21;7.94;5.69;7.65;3.59;3.68
&nbspP/EBITDA;6.90;4.74;4.28;3.75;5.20;7.90;5.66;7.61;3.58;3.67
&nbspP/Ativos;0.78;0.68;0.75;0.65;0.85;0.91;0.94;0.96;0.81;0.86
&nbspEbitda;1089;1323;1517;1539;1375;930;1436;1412;3210;3507
&nbspMarg. Ebitda;89%;91%;101%;100%;99%;86%;88%;79%;90%;93%
&nbspPSR;6.14;4.33;4.34;3.74;5.14;6.83;4.97;5.99;3.22;3.40
&nbspROE;14%;21%;21%;21%;20%;15%;23%;20%;38%;37%
&nbspROA;6%;10%;10%;10%;10%;8%;12%;9%;16%;16%
&nbspROIC;15%;15%;18%;18%;17%;12%;17%;13%;24%;25%
&nbspEV/EBIT;14.22;13.20;11.17;10.88;11.94;17.42;11.52;13.14;5.80;5.29
&nbspEV/EBITDA;14.21;13.18;11.16;10.86;11.91;17.34;11.46;13.07;5.78;5.27
&nbspDiv. Yield;2,11%;12,09%;15,55%;13,13%;13,07%;8,62%;11,82%;4,33%;9,63%;14,26%
&nbspDiv. Payout;99%;85%;112%;83%;108%;94%;90%;65%;49%;45%
&nbspBeta;-0.21;0.22;0.36;0.35;0.42;0.53;0.51;0.55;0.36;0.36
&nbspValorização;2%;-7%;21%;1%;47%;8%;25%;32%;20%;21%
&nbspNegócios/dia;402;1864;2326;3127;4457;6863;7683;7539;12741;10186
&nbspVolume diário;10;14;12;15;24;42;39;40;82;84
