Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.42;0.56;0.27;-0.81;-0.55;-1.04;-6.28;-1.75;-4.42;-0.80;0.51;2.75;5.08
&nbspP/L;15.06;7.30;5.43;-3.57;-4.13;-0.45;-0.18;-1.03;-0.49;-5.05;11.78;5.64;4.57
&nbspVPA;3.23;3.59;2.30;1.42;1.03;0.29;-1.48;-2.93;-6.88;-5.42;-3.44;0.44;1.59
&nbspP/VP;1.96;1.14;0.64;2.04;2.22;1.61;-0.76;-0.61;-0.31;-0.75;-1.74;35.48;14.58
&nbspP/EBIT;7.60;5.06;2.04;4.88;18.97;-0.90;-0.75;-1.07;-0.85;6.45;4.95;3.43;3.96
&nbspP/EBITDA;6.14;3.96;1.61;3.55;6.28;-1.40;-1.78;-1.64;-1.11;3.77;4.14;3.23;3.73
&nbspP/Ativos;0.88;0.53;0.18;0.37;0.27;0.09;0.04;0.12;0.18;0.33;0.50;1.02;1.31
&nbspEbitda;132;133;129;115;51;-60;-26;-64;-126;80;128;461;597
&nbspMarg. Ebitda;20%;20%;21%;16%;6%;-10%;-3%;-8%;-16%;10%;13%;26%;29%
&nbspPSR;1.24;0.78;0.33;0.59;0.40;0.14;0.06;0.13;0.18;0.36;0.53;0.84;1.10
&nbspROE;13%;16%;12%;-57%;-54%;-356%;423%;60%;64%;15%;-15%;629%;319%
&nbspROA;6%;7%;3%;-10%;-7%;-19%;-25%;-11%;-37%;-7%;4%;18%;29%
&nbspROIC;15%;13%;11%;9%;2%;-12%;-7%;-13%;-25%;6%;12%;35%;44%
&nbspEV/EBIT;21.34;22.93;25.18;32.62;157.99;-29.31;-44.34;-29.46;-17.99;64.59;27.68;6.72;5.09
&nbspEV/EBITDA;17.25;17.98;19.78;23.74;52.32;-45.80;-105.54;-45.11;-23.30;37.72;23.13;6.33;4.79
&nbspDiv. Yield;2,21%;4,15%;8,90%;3,45%;1,32%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;31%;31%;39%;-18%;-9%;0%;0%;0%;0%;0%;100%;0%;0%
&nbspBeta;0.59;0.65;0.78;0.47;0.40;0.10;0.32;0.41;0.32;0.32;1.26;0.80;0.37
&nbspValorização;95%;-19%;-58%;105%;-21%;-78%;-78%;57%;17%;93%;0%;148%;49%
&nbspNegócios/dia;48;50;75;164;232;159;26;38;91;933;1454;3303;6472
&nbspVolume diário;0;0;0;1;1;0;0;0;0;5;9;19;66
