Unnamed: 0;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-666.67;80.81;80.81;30.30;0.00;-2.27;-0.15;0.00;0.00;0.00
&nbspP/L;0.00;0.00;0.00;0.01;0.00;-1.26;-10.79;0.00;0.00;0.00
&nbspVPA;40.40;111.11;161.62;171.72;2.42;0.30;0.15;0.00;0.00;0.00
&nbspP/VP;0.00;0.00;0.00;0.00;0.58;9.43;10.79;0.00;0.00;0.00
&nbspP/EBIT;0.00;0.00;0.00;0.00;4.63;-0.70;-10.79;-9.33;0.00;0.00
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspP/Ativos;0.00;0.00;0.00;0.00;0.04;0.08;0.05;0.04;0.04;0.13
&nbspEbitda;0;0;0;0;0;0;0;0;0;0
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspPSR;0.00;0.00;0.00;0.00;0.55;18.87;5.40;0.00;0.00;0.00
&nbspROE;-1.650%;73%;50%;18%;0%;-750%;-100%;0%;0%;0%
&nbspROA;-43%;4%;4%;1%;0%;-7%;0%;0%;0%;0%
&nbspROIC;-45%;-27%;4%;4%;1%;-16%;-1%;-1%;0%;0%
&nbspEV/EBIT;-1.43;-1.74;11.49;9.81;39.23;-2.39;-64.45;-63.45;0.00;0.00
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
&nbspDiv. Yield;0,00%;0,00%;0,00%;6,25%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
&nbspBeta;0.00;2.37;0.84;1.52;-2.67;0.60;0.31;-0.76;0.54;0.26
&nbspValorização;-70%;-54%;84%;66%;-45%;97%;-41%;-15%;7%;209%
&nbspNegócios/dia;10;9;133;172;53;147;31;94;182;495
&nbspVolume diário;0;0;0;1;0;0;0;0;0;1
