Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.52;0.77;1.38;0.77;-0.92;1.54;1.18;1.63;-1.67;-1.60;-0.85;-0.35;-2.24;-1.81
&nbspP/L;6.50;13.50;8.05;12.98;-8.77;5.83;3.27;1.66;-1.30;-1.28;-1.70;-5.16;-4.46;-4.76
&nbspVPA;5.93;6.76;8.22;8.78;7.71;8.49;9.44;9.51;5.29;3.22;2.36;1.28;10.74;10.65
&nbspP/VP;0.57;1.54;1.35;1.15;1.05;1.06;0.41;0.28;0.41;0.64;0.61;1.42;0.93;0.81
&nbspP/EBIT;8.83;13.62;7.56;14.38;-9.08;5.16;3.79;1.94;-1.27;-1.44;-2.21;-6.35;-5.18;-6.15
&nbspP/EBITDA;8.21;12.15;7.13;13.05;-9.91;4.97;3.54;1.89;-1.28;-1.45;-2.23;-6.42;-5.24;-6.26
&nbspP/Ativos;0.34;0.67;0.51;0.47;0.36;0.36;0.14;0.13;0.19;0.29;0.25;0.78;0.42;0.36
&nbspEbitda;60;124;226;143;-151;335;196;257;-461;-471;-215;-210;-140;-101
&nbspMarg. Ebitda;12%;17%;16%;9%;-11%;18%;12%;20%;-135%;-153%;-123%;-57%;-78%;-60%
&nbspPSR;0.96;2.05;1.14;1.17;1.11;0.91;0.43;0.38;1.73;2.22;2.74;3.69;4.09;3.75
&nbspROE;9%;11%;17%;9%;-12%;18%;12%;17%;-31%;-50%;-36%;-28%;-21%;-17%
&nbspROA;5%;5%;6%;4%;-4%;6%;4%;8%;-15%;-23%;-15%;-15%;-9%;-8%
&nbspROIC;4%;6%;8%;4%;-4%;8%;4%;7%;-15%;-21%;-11%;-15%;-10%;-7%
&nbspEV/EBIT;15.41;10.21;7.80;13.17;-14.15;8.00;15.10;7.22;-3.51;-2.78;-5.67;-3.19;-6.54;-8.92
&nbspEV/EBITDA;14.34;9.11;7.36;11.95;-15.43;7.71;14.10;7.03;-3.53;-2.80;-5.73;-3.22;-6.62;-9.08
&nbspDiv. Yield;1,47%;1,15%;1,62%;2,59%;3,72%;0,00%;12,21%;7,78%;7,41%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;9%;15%;13%;33%;-32%;0%;40%;12%;-6%;0%;0%;0%;0%;0%
&nbspBeta;0.80;0.66;0.71;1.10;0.80;0.67;0.95;0.58;0.98;0.90;0.82;0.94;1.58;1.12
&nbspValorização;-69%;196%;9%;-10%;-18%;9%;-53%;-24%;-11%;-8%;-31%;21%;-49%;-11%
&nbspNegócios/dia;195;148;132;1042;2012;2313;1623;1729;1407;1689;1055;3645;6695;3008
&nbspVolume diário;3;2;1;7;7;7;5;4;2;3;2;14;28;11
