Unnamed: 0;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;1.19;0.83;0.43;0.61;0.29;-0.01;-0.01;0.18;-1.54;-0.37;-0.17
&nbspP/L;13.23;30.29;38.11;12.63;12.36;-282.62;-278.70;13.79;-2.34;-3.52;-19.32
&nbspVPA;4.80;5.27;5.74;5.92;5.88;5.90;5.90;5.92;4.38;4.03;3.97
&nbspP/VP;3.29;4.76;2.82;1.30;0.62;0.61;0.60;0.42;0.82;0.32;0.81
&nbspP/EBIT;12.04;29.83;25.67;9.18;8.88;35.33;-139.35;-64.37;-2.26;-10.21;62.80
&nbspP/EBITDA;12.52;30.13;26.44;8.94;8.27;46.96;37.27;-220.97;-3.01;69.38;17.54
&nbspP/Ativos;2.60;3.84;1.51;0.76;0.37;0.38;0.39;0.24;0.42;0.17;0.42
&nbspEbitda;96;64;48;68;34;6;7;-1;-94;1;14
&nbspMarg. Ebitda;37%;21%;11%;16%;9%;2%;2%;0%;-30%;1%;6%
&nbspPSR;4.59;6.21;2.90;1.47;0.72;0.79;0.82;0.63;0.89;0.42;1.02
&nbspROE;25%;16%;7%;10%;5%;0%;0%;3%;-35%;-9%;-4%
&nbspROA;20%;13%;4%;6%;3%;0%;0%;2%;-18%;-5%;-2%
&nbspROIC;26%;13%;6%;9%;4%;1%;0%;0%;-23%;-2%;1%
&nbspEV/EBIT;1.67;3.41;8.75;5.67;11.95;39.81;-156.76;-88.17;-2.21;-29.75;65.70
&nbspEV/EBITDA;1.73;3.44;9.01;5.52;11.13;52.93;41.93;-302.65;-2.95;202.26;18.35
&nbspDiv. Yield;0,00%;1,79%;0,99%;4,79%;8,29%;1,39%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;18%;62%;39%;25%;161%;-300%;0%;0%;0%;0%;0%
&nbspBeta;0.70;0.00;0.48;0.59;0.47;0.61;0.78;0.48;1.01;0.95;0.74
&nbspValorização;-10%;64%;-37%;-48%;-47%;9%;-2%;-34%;37%;-62%;144%
&nbspNegócios/dia;133;155;330;196;160;92;158;186;285;626;1617
&nbspVolume diário;2;2;4;1;1;0;0;0;1;1;5
