Unnamed: 0;2016;2017;2018;2019;2020;2021
&nbspLPA;-8.15;0.45;2.40;-6.15;-2.62;-4.91
&nbspP/L;-1.23;33.34;5.10;-3.58;-9.94;-9.49
&nbspVPA;54.54;55.32;52.47;43.58;36.00;31.59
&nbspP/VP;0.18;0.27;0.23;0.50;0.72;1.48
&nbspP/EBIT;-1.60;5.44;1.59;-19.84;2.27;4.46
&nbspP/EBITDA;-2.48;3.12;1.27;17.67;1.86;3.41
&nbspP/Ativos;0.09;0.12;0.09;0.19;0.19;0.37
&nbspEbitda;-72;86;172;27;304;298
&nbspMarg. Ebitda;-9%;11%;15%;3%;25%;22%
&nbspPSR;0.21;0.34;0.20;0.50;0.46;0.75
&nbspROE;-15%;1%;5%;-14%;-7%;-16%
&nbspROA;-7%;0%;2%;-5%;-2%;-4%
&nbspROIC;-6%;2%;7%;-1%;10%;9%
&nbspEV/EBIT;-16.01;37.28;13.76;-76.07;8.28;9.19
&nbspEV/EBITDA;-24.80;21.33;11.02;67.78;6.78;7.02
&nbspDiv. Yield;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%
&nbspBeta;0.38;0.44;0.31;0.31;0.77;0.35
&nbspValorização;-23%;47%;-19%;77%;16%;71%
&nbspNegócios/dia;83;50;42;57;186;172
&nbspVolume diário;0;0;0;0;1;2
