Unnamed: 0;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.66;0.80;1.20;1.73;1.53;1.23;0.62;-0.32;0.18;0.24;1.56;1.65;2.94;1.15;1.15
&nbspP/L;34.28;5.60;12.94;14.72;16.75;28.49;28.95;-49.89;25.83;31.72;12.69;16.65;12.81;23.42;20.85
&nbspVPA;5.15;4.89;5.14;6.35;6.04;6.29;6.08;5.49;5.54;5.68;6.79;7.33;8.71;9.47;9.77
&nbspP/VP;4.37;0.92;3.01;4.01;4.25;5.56;2.96;2.89;0.85;1.35;2.92;3.75;4.32;2.85;2.46
&nbspP/EBIT;21.13;3.76;8.52;9.93;9.45;14.89;10.69;8.00;6.89;8.90;12.11;11.79;10.23;16.48;14.41
&nbspP/EBITDA;0.00;2.50;6.35;9.83;8.38;12.36;8.48;6.81;4.30;5.85;9.55;9.93;9.26;13.73;12.03
&nbspP/Ativos;3.04;0.50;1.76;2.80;1.77;2.11;0.99;0.99;0.34;0.61;1.56;2.24;2.52;1.73;1.50
&nbspEbitda;0;119;161;171;202;187;140;154;72;87;137;183;268;130;132
&nbspMarg. Ebitda;0%;12%;14%;15%;13%;10%;8%;10%;6%;9%;13%;15%;20%;13%;14%
&nbspPSR;2.16;0.30;0.90;1.44;1.12;1.28;0.67;0.70;0.28;0.55;1.21;1.45;1.84;1.76;1.64
&nbspROE;13%;16%;23%;27%;25%;20%;10%;-6%;3%;4%;23%;23%;34%;12%;12%
&nbspROA;9%;9%;14%;19%;11%;7%;3%;-2%;1%;2%;12%;13%;20%;7%;7%
&nbspROIC;15%;14%;22%;32%;22%;16%;12%;17%;7%;10%;16%;22%;28%;15%;15%
&nbspEV/EBIT;22.53;21.64;14.13;9.64;10.28;12.27;17.48;14.49;39.25;30.09;15.65;11.00;7.27;14.91;14.58
&nbspEV/EBITDA;0.00;14.41;10.54;9.54;9.11;10.18;13.87;12.33;24.52;19.77;12.35;9.27;6.58;12.42;12.17
&nbspDiv. Yield;0,00%;18,89%;5,29%;3,77%;3,90%;2,80%;5,11%;1,64%;1,70%;0,00%;1,11%;4,18%;4,17%;1,30%;2,46%
&nbspDiv. Payout;0%;108%;68%;0%;65%;79%;146%;-76%;42%;0%;29%;69%;53%;29%;29%
&nbspBeta;0.50;0.46;0.33;0.31;0.53;0.22;0.41;0.45;0.61;0.96;1.08;0.97;0.76;1.17;1.01
&nbspValorização;-15%;-78%;252%;78%;8%;42%;-47%;-9%;-70%;71%;169%;45%;41%;-29%;-10%
&nbspNegócios/dia;125;60;108;133;265;236;703;724;504;515;1110;1728;1478;2867;2549
&nbspVolume diário;4;1;1;2;3;4;5;3;1;1;4;8;8;15;11
