Unnamed: 0;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.06;0.09;0.04;0.22;0.23;0.42;0.48;0.48;-0.13;0.03;0.08;0.09;0.89;0.53;0.60;0.62;0.64;0.86;0.31;0.51;1.05;1.50;0.76;0.76
&nbspP/L;17.83;42.39;88.95;13.62;8.40;7.15;8.12;12.79;-97.94;251.35;63.58;81.95;7.62;17.41;13.67;19.77;18.41;8.01;25.17;25.68;11.27;10.47;19.22;15.35
&nbspVPA;2.03;2.06;2.73;2.84;2.93;3.10;3.44;3.12;3.38;3.32;3.32;3.36;4.16;5.36;5.72;6.04;6.33;7.00;7.10;7.50;8.18;9.27;9.58;9.58
&nbspP/VP;0.55;1.91;1.46;1.07;0.67;0.98;1.13;1.96;3.71;2.53;1.48;2.13;1.64;1.72;1.43;2.04;1.86;0.98;1.10;1.75;1.45;1.69;1.53;1.22
&nbspP/EBIT;0.00;20.86;20.22;8.59;5.75;6.97;7.10;11.24;138.79;37.56;23.44;37.11;14.04;10.80;8.54;12.23;11.46;5.12;13.30;16.41;11.86;8.40;12.60;10.06
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.74;6.89;3.97;5.79;4.02;4.82;3.96;5.73;5.15;2.51;3.64;5.33;4.50;3.93;4.20;3.35
&nbspP/Ativos;0.41;1.14;0.91;0.68;0.41;0.66;0.76;1.23;2.06;1.35;0.71;1.01;0.87;0.95;0.76;1.06;0.87;0.47;0.55;0.97;0.90;0.94;0.85;0.68
&nbspEbitda;0;0;0;0;0;0;0;0;2495;2845;2899;3060;4194;4637;5010;5203;5538;6606;5209;5947;6372;9644;8446;8446
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;0%;0%;25%;23%;22%;23%;29%;27%;27%;26%;28%;39%;33%;37%;38%;55%;49%;49%
&nbspPSR;3.00;1.93;1.86;1.29;0.75;0.99;1.06;1.84;2.89;1.58;0.88;1.35;1.17;1.31;1.06;1.50;1.46;0.97;1.21;1.95;1.69;2.18;2.05;1.64
&nbspROE;3%;4%;2%;8%;8%;14%;14%;15%;-4%;1%;2%;3%;21%;10%;10%;10%;10%;12%;4%;7%;13%;16%;8%;8%
&nbspROA;2%;3%;1%;5%;5%;9%;9%;10%;-2%;1%;1%;1%;11%;5%;6%;5%;5%;6%;2%;4%;8%;9%;4%;4%
&nbspROIC;0%;6%;5%;8%;8%;11%;13%;14%;2%;5%;4%;3%;9%;13%;13%;14%;11%;13%;6%;8%;9%;13%;8%;8%
&nbspEV/EBIT;0.00;462.71;443.65;245.90;250.00;187.17;75.80;60.67;147.62;59.53;66.15;69.37;24.79;14.18;12.45;11.65;12.24;9.29;21.08;15.46;11.88;6.20;9.46;9.43
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.48;10.92;11.20;10.81;7.10;6.32;5.77;5.46;5.50;4.56;5.77;5.03;4.51;2.91;3.15;3.14
&nbspDiv. Yield;8,04%;1,53%;0,25%;2,97%;2,55%;1,98%;3,10%;2,29%;0,56%;2,26%;0,00%;0,00%;0,00%;2,16%;2,68%;0,00%;0,00%;2,19%;2,43%;1,07%;2,03%;3,64%;3,07%;5,04%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;0%;0%;-38%;564%;114%;78%;9%;38%;36%;49%;54%;17%;61%;27%;23%;21%;62%;62%
&nbspBeta;0.00;0.00;1.11;1.15;1.28;1.16;1.08;1.32;0.91;0.95;0.83;0.70;0.79;0.66;0.60;0.65;0.55;0.65;0.90;0.61;0.82;0.75;0.69;0.72
&nbspValorização;11%;230%;0%;-21%;-38%;60%;29%;67%;98%;-32%;-43%;43%;-5%;38%;-12%;53%;-3%;-40%;18%;72%;-9%;35%;-4%;-18%
&nbspNegócios/dia;27;52;116;112;109;159;215;191;308;466;578;602;789;3404;7778;10032;10092;8990;7940;8029;10609;10775;19237;14673
&nbspVolume diário;0;1;1;1;1;1;1;2;8;12;5;3;4;22;46;51;51;34;22;32;55;57;118;74
