Unnamed: 0;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.41;1.42;1.57;3.98;4.42;1.07;1.29;1.37;1.62;1.20;0.93;0.57;0.37;1.10;0.51;0.55
&nbspP/L;114.73;41.44;23.52;29.64;38.25;31.02;31.39;26.91;21.56;25.87;25.86;52.11;72.53;58.65;55.88;68.62
&nbspVPA;13.11;13.38;14.73;16.28;20.06;4.70;5.65;6.55;6.90;7.57;7.37;7.61;7.78;12.86;4.51;4.68
&nbspP/VP;3.61;4.41;2.51;7.25;8.43;7.08;7.15;5.64;5.07;4.10;3.26;3.93;3.49;5.02;6.37;8.00
&nbspP/EBIT;0.00;34.99;22.16;20.42;25.08;23.36;21.98;18.90;16.34;22.15;18.69;34.38;35.41;38.14;42.02;49.80
&nbspP/EBITDA;32.31;16.33;8.24;14.75;18.36;17.18;17.27;15.01;13.01;15.28;11.58;16.81;17.33;26.33;26.99;31.98
&nbspP/Ativos;2.98;3.55;1.11;3.04;3.76;3.97;4.60;3.26;2.65;1.91;1.63;1.99;1.88;3.52;3.23;3.98
&nbspEbitda;39;96;140;249;290;309;378;402;436;332;344;294;259;472;615;676
&nbspMarg. Ebitda;11%;22%;21%;25%;26%;24%;27%;25%;25%;17%;16%;13%;11%;21%;24%;25%
&nbspPSR;3.62;3.59;1.70;3.72;4.71;4.15;4.59;3.74;3.20;2.66;1.82;2.22;1.94;5.45;6.39;7.96
&nbspROE;3%;11%;11%;24%;22%;23%;23%;21%;24%;16%;13%;8%;5%;9%;11%;12%
&nbspROA;3%;9%;5%;10%;10%;13%;15%;12%;12%;7%;6%;4%;3%;6%;6%;6%
&nbspROIC;0%;10%;5%;15%;18%;23%;31%;25%;25%;11%;10%;7%;7%;17%;10%;10%
&nbspEV/EBIT;0.00;482.11;425.25;123.25;103.18;95.65;72.46;67.58;62.12;96.14;103.91;152.63;171.03;63.21;52.69;48.17
&nbspEV/EBITDA;555.41;225.03;158.08;89.00;75.55;70.34;56.93;53.68;49.44;66.32;64.36;74.63;83.72;43.64;33.84;30.93
&nbspDiv. Yield;0,00%;1,44%;4,70%;1,06%;1,45%;6,40%;1,61%;1,95%;2,74%;3,67%;3,87%;1,20%;1,14%;0,65%;0,59%;0,45%
&nbspDiv. Payout;64%;58%;59%;29%;49%;51%;48%;62%;60%;89%;92%;80%;82%;23%;36%;35%
&nbspBeta;0.57;0.50;0.29;0.52;0.53;0.34;0.25;0.44;0.28;0.69;0.43;0.32;0.59;0.34;0.90;0.64
&nbspValorização;39%;27%;-36%;205%;44%;-3%;23%;-8%;-2%;-10%;-19%;28%;-9%;127%;25%;35%
&nbspNegócios/dia;93;50;49;85;252;759;1276;1896;2661;3212;3129;2397;2691;6051;20204;22212
&nbspVolume diário;5;4;3;5;16;14;15;18;21;21;19;14;16;67;156;146
