Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.32;0.21;0.09;3.53;-0.43;-2.65;0.69;-1.89;-0.09;-2.17;-1.23;0.96;0.76
&nbspP/L;17.71;47.45;105.57;3.54;-22.00;-2.90;6.64;-1.68;-36.96;-0.72;-1.38;2.43;4.43
&nbspVPA;9.51;9.64;9.32;12.62;11.94;8.14;8.34;6.31;7.56;5.50;4.27;5.18;4.86
&nbspP/VP;0.60;1.01;1.01;0.99;0.80;0.95;0.55;0.50;0.44;0.28;0.40;0.45;0.69
&nbspP/EBIT;9.57;11.39;10.24;2.74;6.38;-5.60;1.00;1.48;1.32;-3.16;-6.76;1.78;3.07
&nbspP/EBITDA;5.86;8.42;7.47;2.14;3.80;-35.86;0.77;0.81;0.76;-3.27;-8.16;1.72;2.89
&nbspP/Ativos;0.29;0.47;0.40;0.36;0.34;0.25;0.15;0.11;0.13;0.07;0.08;0.12;0.18
&nbspEbitda;142;169;184;852;440;-38;1049;691;780;-84;-36;239;204
&nbspMarg. Ebitda;31%;31%;26%;92%;52%;-2%;43%;45%;52%;-7%;-4%;25%;21%
&nbspPSR;1.85;2.61;1.97;1.96;1.98;0.78;0.33;0.36;0.40;0.23;0.30;0.42;0.61
&nbspROE;3%;2%;1%;28%;-4%;-33%;8%;-30%;-1%;-39%;-29%;19%;16%
&nbspROA;2%;1%;0%;10%;-2%;-9%;2%;-7%;0%;-10%;-6%;5%;4%
&nbspROIC;3%;4%;4%;14%;5%;-5%;16%;8%;11%;-2%;-1%;7%;6%
&nbspEV/EBIT;12.18;8.95;10.97;2.73;7.22;-11.93;4.11;8.80;5.04;-27.43;-55.78;10.05;12.09
&nbspEV/EBITDA;7.46;6.62;8.00;2.14;4.30;-76.38;3.16;4.79;2.89;-28.39;-67.31;9.73;11.35
&nbspDiv. Yield;0,00%;1,95%;2,02%;2,64%;3,79%;0,00%;5,00%;15,77%;0,00%;12,18%;0,00%;0,00%;1,19%
&nbspDiv. Payout;0%;90%;208%;11%;-82%;0%;54%;0%;0%;-21%;0%;0%;0%
&nbspBeta;0.63;0.55;0.21;0.16;0.32;0.48;0.52;0.47;0.96;0.70;0.77;1.01;0.60
&nbspValorização;457%;79%;-3%;38%;-22%;-16%;-36%;-28%;6%;-50%;6%;40%;50%
&nbspNegócios/dia;44;60;45;104;496;331;246;159;1115;662;426;969;2752
&nbspVolume diário;0;1;1;1;2;1;1;1;4;2;1;2;11
