Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.66;0.49;-0.44;0.35;0.76;0.49;0.34;0.07;0.51;0.54;0.81;0.99;1.02
&nbspP/L;9.54;14.42;-6.48;8.15;5.15;6.09;8.16;42.37;8.08;7.58;18.78;12.42;9.78
&nbspVPA;5.66;6.21;5.72;5.97;7.31;6.97;7.21;7.16;7.49;4.11;5.86;6.49;6.70
&nbspP/VP;1.11;1.14;0.50;0.48;0.53;0.43;0.39;0.41;0.55;1.00;2.61;1.89;1.49
&nbspP/EBIT;6.52;6.48;10.14;4.15;4.20;5.19;5.58;15.13;5.53;6.44;16.70;11.49;8.89
&nbspP/EBITDA;6.47;6.29;9.35;4.00;4.15;5.05;5.44;14.85;5.51;6.40;16.64;10.64;8.23
&nbspP/Ativos;0.48;0.32;0.14;0.16;0.26;0.22;0.22;0.24;0.32;0.55;1.59;1.05;0.86
&nbspEbitda;80;92;25;59;77;48;39;14;54;94;172;215;226
&nbspMarg. Ebitda;14%;12%;3%;9%;15%;13%;10%;5%;12%;17%;22%;24%;25%
&nbspPSR;0.92;0.73;0.30;0.38;0.61;0.66;0.56;0.70;0.68;1.10;3.58;2.60;2.04
&nbspROE;12%;8%;-8%;6%;10%;7%;5%;1%;7%;13%;14%;15%;15%
&nbspROA;5%;2%;-2%;2%;5%;4%;3%;1%;4%;7%;8%;8%;9%
&nbspROIC;9%;6%;2%;4%;7%;5%;4%;2%;7%;10%;13%;12%;12%
&nbspEV/EBIT;27.85;29.64;117.18;44.67;29.78;45.90;56.79;146.79;37.32;22.13;9.93;9.77;9.22
&nbspEV/EBITDA;27.61;28.78;108.12;43.10;29.46;44.69;55.38;144.00;37.13;21.98;9.90;9.05;8.53
&nbspDiv. Yield;0,00%;1,99%;3,86%;0,00%;1,28%;4,03%;9,29%;4,14%;3,42%;3,90%;0,46%;1,80%;2,41%
&nbspDiv. Payout;0%;25%;-25%;0%;0%;0%;0%;0%;0%;0%;0%;22%;21%
&nbspBeta;0.46;0.65;0.76;0.53;0.45;0.27;0.08;0.67;0.60;0.61;0.74;1.30;1.06
&nbspValorização;132%;22%;-59%;9%;32%;-22%;-5%;17%;67%;101%;261%;-21%;-14%
&nbspNegócios/dia;39;31;138;46;48;21;15;9;64;302;1846;6531;4318
&nbspVolume diário;1;0;0;0;0;0;0;0;1;1;8;23;14
