Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;5.50;3.70;6.00;5.54;0.22;2.36;3.22;30.06;8.42;11.51;2.70;5.13;5.40
&nbspP/L;9.81;16.51;9.00;8.04;203.55;19.52;13.36;1.96;6.98;5.99;10.18;5.72;5.69
&nbspVPA;27.78;30.05;29.73;33.26;32.18;32.42;34.20;62.51;67.99;68.60;20.89;21.44;20.74
&nbspP/VP;1.94;2.03;1.82;1.34;1.37;1.42;1.26;0.94;0.86;1.00;1.32;1.37;1.48
&nbspP/EBIT;7.26;8.09;5.81;4.72;-32.29;16.52;11.27;1.31;4.73;4.61;7.74;4.37;4.31
&nbspP/EBITDA;6.02;7.91;5.67;4.62;-33.23;16.23;11.14;1.31;4.71;4.60;7.68;4.28;4.22
&nbspP/Ativos;1.29;1.34;0.98;0.69;0.96;1.04;0.94;0.65;0.56;0.61;0.84;0.79;0.76
&nbspEbitda;1351;1172;1455;1472;-202;457;623;7402;2057;2468;2361;4518;4791
&nbspMarg. Ebitda;82%;52%;50%;52%;-21%;41%;48%;95%;76%;78%;71%;122%;120%
&nbspPSR;4.91;4.11;2.84;2.41;6.85;6.73;5.39;1.25;3.58;3.56;5.49;5.23;5.09
&nbspROE;20%;12%;20%;17%;1%;7%;9%;48%;12%;17%;13%;24%;26%
&nbspROA;13%;8%;11%;9%;0%;5%;7%;33%;8%;10%;8%;14%;13%
&nbspROIC;18%;17%;17%;15%;-3%;7%;9%;50%;12%;14%;12%;20%;19%
&nbspEV/EBIT;16.30;16.20;13.92;14.22;-85.78;39.89;29.03;2.42;9.05;7.94;7.61;4.34;4.50
&nbspEV/EBITDA;13.51;15.85;13.59;13.91;-88.27;39.18;28.68;2.41;9.01;7.91;7.55;4.25;4.41
&nbspDiv. Yield;7,96%;8,28%;10,94%;7,98%;2,98%;3,09%;5,28%;2,54%;5,17%;18,23%;5,49%;5,93%;10,16%
&nbspDiv. Payout;77%;99%;100%;63%;0%;111%;70%;2%;46%;109%;51%;22%;32%
&nbspBeta;0.45;0.33;0.12;-0.22;-0.19;0.20;0.07;0.04;0.62;0.23;0.58;0.20;0.10
&nbspValorização;20%;20%;-9%;-14%;0%;11%;-1%;39%;4%;40%;71%;14%;7%
&nbspNegócios/dia;3;2;2;5;3;3;5;3;3;4;15;23;28
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;0;0
