Unnamed: 0;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;2.94;2.73;2.73;3.57;0.60;0.60;0.64;1.53;-1.26;1.07;1.89;1.94;-0.53;0.81
&nbspP/L;3.74;4.94;9.34;7.81;83.17;34.80;27.97;12.20;-9.57;17.09;10.64;13.03;-39.78;29.06
&nbspVPA;13.42;15.42;16.98;19.18;10.37;13.19;14.09;16.71;13.92;13.75;15.25;16.56;17.71;18.17
&nbspP/VP;0.82;0.88;1.50;1.45;4.77;1.59;1.27;1.12;0.86;1.33;1.32;1.53;1.18;1.30
&nbspP/EBIT;2.73;4.10;7.43;6.20;29.77;11.74;12.49;8.35;-9.41;13.78;7.85;10.22;13.93;12.73
&nbspP/EBITDA;2.15;3.00;5.36;4.72;18.66;6.53;5.12;4.51;5.11;5.88;4.47;5.34;5.33;4.82
&nbspP/Ativos;0.31;0.35;0.61;0.47;1.49;0.67;0.52;0.47;0.36;0.57;0.59;0.71;0.49;0.52
&nbspEbitda;293;257;272;338;303;464;503;598;339;447;649;683;567;705
&nbspMarg. Ebitda;17%;21%;15%;15%;11%;15%;16%;17%;10%;12%;13%;13%;13%;15%
&nbspPSR;0.36;0.63;0.78;0.73;2.12;0.97;0.83;0.79;0.53;0.71;0.60;0.71;0.71;0.72
&nbspROE;22%;18%;16%;19%;6%;5%;5%;9%;-9%;8%;12%;12%;-3%;4%
&nbspROA;8%;7%;6%;6%;2%;2%;2%;4%;-4%;3%;6%;5%;-1%;2%
&nbspROIC;13%;11%;11%;14%;7%;8%;6%;8%;-6%;6%;10%;10%;5%;6%
&nbspEV/EBIT;16.13;19.18;18.58;14.61;23.94;15.72;20.27;13.48;-22.11;21.65;11.01;11.27;19.27;16.25
&nbspEV/EBITDA;12.68;14.01;13.39;11.13;15.00;8.74;8.30;7.28;12.00;9.24;6.27;5.89;7.37;6.15
&nbspDiv. Yield;2,55%;5,78%;4,47%;4,09%;2,99%;1,14%;1,96%;3,96%;2,50%;6,36%;5,06%;4,43%;0,00%;0,00%
&nbspDiv. Payout;9%;28%;41%;31%;124%;32%;54%;48%;-46%;107%;64%;58%;0%;0%
&nbspBeta;0.23;-0.03;0.55;0.17;0.04;0.07;0.31;0.24;0.11;0.49;0.26;0.45;0.71;0.72
&nbspValorização;-36%;31%;113%;14%;85%;-12%;-13%;18%;-36%;58%;13%;31%;-17%;6%
&nbspNegócios/dia;10;14;17;9;10;132;372;615;1489;1863;2385;2841;4465;5157
&nbspVolume diário;0;0;0;0;0;2;3;4;6;7;11;12;19;30
