Unnamed: 0;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;0.67;0.21;-0.05;0.21;-0.36;-0.11;0.06;0.29;0.23;0.29
&nbspP/L;16.81;27.00;-52.65;8.12;-6.99;-23.98;46.76;17.56;18.72;17.39
&nbspVPA;3.36;3.10;2.91;3.00;2.63;2.53;2.59;2.42;2.35;2.41
&nbspP/VP;3.33;1.84;0.82;0.57;0.96;1.01;1.09;2.09;1.81;2.08
&nbspP/EBIT;15.09;27.00;-11.28;14.21;-5.60;-11.99;93.51;15.89;15.60;13.77
&nbspP/EBITDA;13.20;17.03;-29.87;6.08;-8.47;-40.87;17.84;11.61;10.62;9.56
&nbspP/Ativos;2.70;1.48;0.59;0.43;0.72;0.78;0.87;1.46;1.37;1.30
&nbspEbitda;56;22;-5;19;-20;-4;10;29;26;35
&nbspMarg. Ebitda;20%;9%;-2%;8%;-11%;-3%;7%;19%;18%;21%
&nbspPSR;2.65;1.47;0.65;0.51;0.91;1.07;1.26;2.24;1.87;2.00
&nbspROE;20%;7%;-2%;7%;-14%;-4%;2%;12%;10%;12%
&nbspROA;16%;5%;-1%;5%;-10%;-3%;2%;8%;7%;7%
&nbspROIC;20%;6%;-6%;3%;-15%;-8%;1%;13%;12%;14%
&nbspEV/EBIT;6.48;23.52;-22.38;38.42;-10.28;-22.24;151.17;13.06;16.30;11.10
&nbspEV/EBITDA;5.66;14.84;-59.26;16.44;-15.55;-75.81;28.84;9.55;11.09;7.71
&nbspDiv. Yield;1,25%;8,57%;6,28%;6,40%;3,94%;0,00%;0,00%;4,36%;9,41%;8,00%
&nbspDiv. Payout;311%;243%;-167%;64%;-25%;0%;0%;0%;107%;84%
&nbspBeta;0.09;0.35;0.21;0.28;0.65;0.67;0.68;0.89;0.91;0.72
&nbspValorização;-26%;-46%;-56%;-22%;59%;-3%;15%;77%;-9%;19%
&nbspNegócios/dia;258;415;236;57;104;233;91;326;453;321
&nbspVolume diário;3;2;0;0;0;1;0;1;1;1
