Unnamed: 0;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;3.45;4.30;4.30;3.98;3.60;6.09;3.73;3.55;3.62;3.02;3.52;5.71;1.60;1.90;2.29;2.28;2.79;2.83;2.83;2.04;0.36;0.83;0.81
&nbspP/L;6.05;4.30;4.35;6.26;10.35;8.38;8.70;13.81;17.42;16.80;22.78;18.40;20.03;24.37;24.38;22.55;21.67;24.23;26.50;26.13;70.18;28.49;23.01
&nbspVPA;22.89;24.68;23.38;17.54;19.92;23.42;22.42;24.22;57.41;35.01;36.31;38.63;10.40;11.21;12.20;14.07;14.68;15.38;17.47;17.61;8.84;8.89;8.93
&nbspP/VP;0.91;0.75;0.80;1.42;1.87;2.18;1.45;2.02;1.10;1.45;2.21;2.72;3.08;4.13;4.58;3.66;4.12;4.45;4.29;3.02;2.88;2.67;2.07
&nbspP/EBIT;3.86;3.74;3.17;4.78;6.42;5.51;7.37;12.66;10.26;9.40;11.46;11.30;11.81;14.53;14.02;12.44;11.12;12.23;14.45;15.71;22.01;14.96;11.06
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;4.83;7.97;6.39;6.19;7.80;7.93;8.45;10.32;10.29;8.95;8.30;9.03;10.27;10.98;13.29;9.72;7.26
&nbspP/Ativos;0.58;0.49;0.51;0.82;1.10;1.37;0.73;1.03;0.55;0.70;0.97;1.08;1.25;1.62;1.83;1.45;1.57;1.58;1.47;0.97;0.91;0.73;0.55
&nbspEbitda;0;0;0;0;0;0;546;499;796;1100;1375;1776;2032;2405;2918;3158;3953;4217;4064;2697;2133;2723;2845
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;0%;12%;10%;4%;4%;4%;4%;4%;4%;5%;5%;5%;5%;5%;3%;2%;3%;3%
&nbspPSR;0.71;0.52;0.43;0.58;0.65;0.74;0.56;0.83;0.26;0.24;0.30;0.33;0.35;0.46;0.49;0.42;0.43;0.49;0.52;0.33;0.32;0.33;0.25
&nbspROE;15%;17%;18%;23%;18%;26%;17%;15%;6%;9%;10%;15%;15%;17%;19%;16%;19%;18%;16%;12%;4%;9%;9%
&nbspROA;10%;11%;12%;13%;11%;16%;8%;7%;3%;4%;4%;6%;6%;7%;8%;6%;7%;7%;6%;4%;1%;3%;2%
&nbspROIC;16%;14%;17%;18%;18%;26%;10%;8%;6%;8%;9%;14%;15%;16%;18%;16%;18%;19%;15%;9%;6%;7%;7%
&nbspEV/EBIT;75.42;82.44;68.98;59.94;53.85;33.79;63.15;72.20;49.10;34.32;27.26;18.76;16.54;14.28;11.55;11.13;9.00;8.64;9.86;15.71;24.81;18.48;18.37
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;0.00;41.42;45.46;30.59;22.59;18.56;13.16;11.82;10.14;8.47;8.01;6.72;6.38;7.01;10.97;14.98;12.01;12.06
&nbspDiv. Yield;0,00%;4,38%;18,66%;3,09%;2,92%;3,69%;4,92%;4,33%;1,41%;5,25%;2,22%;2,39%;2,94%;2,20%;2,36%;2,76%;2,50%;2,34%;2,29%;2,74%;3,53%;1,01%;2,37%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;43%;51%;22%;98%;51%;44%;59%;54%;58%;62%;55%;56%;60%;71%;148%;31%;56%
&nbspBeta;0.00;0.34;0.39;0.25;0.17;0.38;0.30;0.34;0.45;0.69;0.55;0.44;0.60;0.45;0.36;0.80;0.69;0.53;0.56;1.01;1.05;1.37;1.31
&nbspValorização;4%;-10%;23%;43%;59%;45%;-26%;63%;29%;-15%;57%;33%;23%;46%;25%;-3%;22%;22%;13%;-29%;-4%;-6%;-21%
&nbspNegócios/dia;33;17;10;11;26;46;90;83;166;656;1048;1101;2565;3326;4314;6403;6643;6742;6289;9389;14058;22869;17648
&nbspVolume diário;1;0;0;1;1;3;3;2;7;20;21;25;25;35;52;68;101;92;93;99;128;154;132
