Unnamed: 0;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-0.78;0.04;0.01;0.05;0.43;0.80;1.05;3.36;3.69;6.02;1.71;3.94;7.92
&nbspP/L;-2.81;18.28;71.85;9.37;1.39;0.66;5.59;2.23;4.52;6.23;20.92;12.41;13.12
&nbspVPA;0.41;0.45;0.46;0.49;0.89;9.29;9.90;15.39;12.83;15.85;14.58;18.42;22.15
&nbspP/VP;5.36;1.56;0.94;0.94;0.68;0.06;0.60;0.49;1.30;2.37;2.45;2.66;4.69
&nbspP/EBIT;183.81;13.29;21.13;6.41;1.29;0.32;3.13;1.11;3.23;4.11;9.15;6.17;8.02
&nbspP/EBITDA;42.46;9.34;9.39;4.53;1.23;0.24;2.37;1.01;2.42;3.39;6.27;4.88;6.90
&nbspP/Ativos;0.28;0.58;0.40;0.50;0.31;0.03;0.30;0.18;0.40;0.85;0.98;1.02;2.03
&nbspEbitda;43;63;38;85;407;183;208;619;576;1007;581;946;1422
&nbspMarg. Ebitda;12%;20%;11%;24%;218%;24%;24%;70%;19%;29%;19%;24%;32%
&nbspPSR;5.08;1.85;1.04;1.08;2.68;0.06;0.57;0.70;0.46;0.99;1.19;1.19;2.24
&nbspROE;-190%;9%;1%;10%;49%;9%;11%;22%;29%;38%;12%;21%;36%
&nbspROA;-10%;3%;1%;5%;22%;4%;5%;8%;9%;14%;5%;8%;15%
&nbspROIC;0%;11%;4%;12%;26%;10%;11%;21%;15%;28%;13%;24%;35%
&nbspEV/EBIT;941.85;198.15;516.27;145.79;24.00;67.35;58.00;15.63;21.30;10.72;22.38;11.14;7.25
&nbspEV/EBITDA;217.56;139.20;229.27;103.18;22.99;50.36;43.77;14.32;15.95;8.85;15.34;8.81;6.23
&nbspDiv. Yield;0,45%;0,00%;0,00%;0,00%;1,67%;3,77%;3,74%;3,87%;27,47%;6,56%;0,75%;2,27%;3,09%
&nbspDiv. Payout;-4%;6%;20%;5%;2%;22%;20%;8%;126%;38%;14%;30%;15%
&nbspBeta;0.21;0.31;0.52;0.36;0.16;0.32;0.06;-0.29;0.45;0.58;0.54;0.54;0.21
&nbspValorização;119%;-69%;-38%;5%;26%;-7%;11%;32%;144%;158%;12%;44%;116%
&nbspNegócios/dia;6;13;6;5;36;6;5;3;16;46;30;39;189
&nbspVolume diário;0;0;0;0;0;0;0;0;0;0;0;1;4
