Unnamed: 0;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;-1.69;6.26;14.19;17.97;11.56;9.71;6.57;2.51;1.61;0.41;-0.54;0.02;0.21;-3.73;-0.46;0.25;0.66;0.30;1.03;2.33
&nbspP/L;-3.89;5.42;3.80;3.09;6.96;8.39;4.04;19.68;11.93;24.68;-23.84;779.58;23.86;-0.42;-8.93;35.97;13.92;31.53;14.16;8.21
&nbspVPA;14.51;18.75;28.00;40.28;47.94;38.25;30.62;32.76;19.28;19.26;18.72;19.07;19.00;15.18;12.12;12.12;12.53;12.42;13.44;14.37
&nbspP/VP;0.45;1.81;1.93;1.38;1.68;2.13;0.87;1.51;0.99;0.53;0.68;0.75;0.27;0.10;0.34;0.75;0.74;0.77;1.09;1.33
&nbspP/EBIT;0.69;2.81;2.29;2.16;4.70;6.00;2.41;21.03;8.84;14.46;-91.72;19.99;7.05;-0.42;-23.35;12.90;10.11;12.52;6.25;5.00
&nbspP/EBITDA;0.00;0.00;0.00;0.00;0.00;5.77;2.07;12.07;6.39;6.47;14.73;7.91;2.74;-0.66;5.16;5.55;5.32;6.13;4.39;3.97
&nbspP/Ativos;0.09;0.48;0.70;0.67;0.93;1.30;0.47;0.94;0.59;0.30;0.39;0.45;0.16;0.06;0.20;0.44;0.44;0.45;0.61;0.75
&nbspEbitda;0;0;0;0;0;4647;6309;2020;2961;1550;859;1773;1821;-2318;995;2056;2172;1944;4173;6044
&nbspMarg. Ebitda;0%;0%;0%;0%;0%;34%;40%;18%;23%;13%;7%;14%;16%;-23%;12%;19%;16%;13%;26%;31%
&nbspPSR;0.21;0.86;0.97;0.94;1.42;1.94;0.83;2.23;1.46;0.84;1.00;1.09;0.42;0.15;0.61;1.06;0.84;0.80;1.14;1.24
&nbspROE;-12%;33%;51%;45%;24%;25%;21%;8%;8%;2%;-3%;0%;1%;-25%;-4%;2%;5%;2%;8%;16%
&nbspROA;-2%;9%;18%;22%;13%;15%;12%;5%;5%;1%;-2%;0%;1%;-13%;-2%;1%;3%;1%;4%;9%
&nbspROIC;14%;18%;31%;32%;20%;22%;21%;5%;8%;3%;-1%;3%;3%;-15%;-1%;4%;5%;4%;13%;19%
&nbspEV/EBIT;16.13;11.66;5.57;4.85;7.18;5.93;5.63;25.43;12.68;39.69;-198.33;38.90;39.27;-8.21;-130.00;31.96;24.58;28.49;8.55;5.29
&nbspEV/EBITDA;0.00;0.00;0.00;0.00;0.00;5.70;4.85;14.59;9.16;17.75;31.85;15.40;15.25;-12.85;28.75;13.74;12.93;13.95;6.00;4.20
&nbspDiv. Yield;3,66%;5,10%;3,89%;12,77%;5,66%;5,36%;10,78%;2,71%;3,03%;1,48%;0,70%;0,00%;0,00%;1,94%;0,00%;0,00%;0,54%;1,58%;0,27%;0,73%
&nbspDiv. Payout;0%;0%;0%;0%;0%;0%;36%;56%;38%;91%;-18%;583%;73%;-1%;0%;8%;15%;67%;5%;4%
&nbspBeta;1.08;0.92;1.40;1.41;1.37;1.25;1.18;1.12;1.16;1.14;1.48;1.37;0.90;0.98;1.97;1.94;1.58;1.16;1.20;1.02
&nbspValorização;1%;425%;66%;19%;59%;58%;-47%;79%;-23%;-47%;22%;7%;-62%;-67%;181%;123%;-4%;-1%;52%;29%
&nbspNegócios/dia;267;462;1063;1451;1426;1790;3830;5617;6627;9106;12085;13707;12843;8918;12764;12246;15552;14037;21118;30742
&nbspVolume diário;4;13;40;63;79;128;151;124;138;96;78;74;57;35;74;111;147;117;184;386
