Unnamed: 0;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
&nbspLPA;9.97;6.02;4.46;4.16;2.00;5.87;7.34;1.79;-0.05;0.04;-8.93;2.54;3.34;4.88;-1.65;4.71;10.30
&nbspP/L;9.58;10.58;13.29;6.65;24.77;9.42;5.38;23.60;-713.28;508.61;-1.46;10.13;12.04;10.46;-32.39;18.56;10.92
&nbspVPA;23.45;18.67;12.77;19.63;19.48;22.29;28.78;30.20;29.52;29.03;27.05;25.49;28.03;32.87;29.74;34.25;38.21
&nbspP/VP;4.07;3.41;4.64;1.41;2.54;2.48;1.37;1.40;1.21;0.75;0.48;1.01;1.44;1.55;1.79;2.55;2.94
&nbspP/EBIT;7.27;7.82;10.10;5.51;19.27;7.14;3.79;14.53;5.52;6.42;-2.37;5.37;6.16;6.24;125.74;8.88;7.05
&nbspP/EBITDA;6.42;6.93;8.81;4.61;13.70;6.25;3.35;9.31;4.35;4.08;-4.52;3.62;4.59;4.86;16.58;6.72;5.86
&nbspP/Ativos;2.05;1.25;2.16;0.78;1.47;1.35;0.83;0.82;0.63;0.36;0.19;0.42;0.65;0.79;0.76;0.97;1.20
&nbspEbitda;17117;22205;32538;31327;18837;46184;60020;23394;42319;27682;-14848;37180;46376;55415;16991;68747;101376
&nbspMarg. Ebitda;50%;49%;50%;44%;39%;55%;58%;25%;41%;31%;-17%;39%;43%;41%;11%;33%;41%
&nbspPSR;3.24;3.40;4.43;2.05;5.32;3.47;1.95;2.33;1.79;1.28;0.79;1.42;1.96;2.00;1.89;2.22;2.41
&nbspROE;43%;32%;35%;21%;10%;26%;25%;6%;0%;0%;-33%;10%;12%;15%;-6%;14%;27%
&nbspROA;21%;12%;16%;12%;6%;14%;15%;3%;0%;0%;-13%;4%;5%;8%;-2%;5%;11%
&nbspROIC;30%;17%;22%;15%;8%;21%;24%;6%;12%;6%;-9%;8%;11%;14%;1%;13%;21%
&nbspEV/EBIT;39.63;32.35;21.95;24.11;46.96;15.26;11.79;42.45;19.28;37.14;-24.19;26.66;18.73;14.46;275.42;11.42;6.99
&nbspEV/EBITDA;35.01;28.66;19.13;20.18;33.38;13.36;10.43;27.22;15.20;23.58;-46.16;17.98;13.95;11.27;36.31;8.65;5.82
&nbspDiv. Yield;2,81%;2,72%;1,82%;3,94%;2,04%;1,77%;7,30%;5,37%;5,04%;8,63%;7,44%;0,66%;3,30%;3,86%;2,65%;2,76%;7,87%
&nbspDiv. Payout;27%;20%;23%;27%;52%;17%;40%;127%;-3.630%;4.460%;-11%;14%;26%;51%;-8%;75%;75%
&nbspBeta;0.88;0.99;1.24;1.15;1.33;1.22;0.98;0.98;1.03;0.66;1.48;1.60;1.03;0.72;1.04;0.97;0.83
&nbspValorização;32%;36%;84%;-51%;66%;9%;-26%;9%;-15%;-33%;-35%;104%;68%;27%;7%;68%;31%
&nbspNegócios/dia;469;835;1926;4246;5196;5515;8224;11161;11421;13106;16182;17341;21154;32282;37412;55691;59190
&nbspVolume diário;34;50;123;159;149;155;181;185;160;143;127;132;363;886;1011;1710;2913
